element,web_name,team,position,fdr_level,games_played,avg_pts,avg_xg,avg_xa,avg_minutes,goals,assists,clean_sheets
241,Caicedo,CHE,MID,2,6,2.5,0.042,0.157,75.0,0,0,1
241,Caicedo,CHE,MID,3,20,3.3,0.044,0.048,70.9,2,1,4
241,Caicedo,CHE,MID,4,10,2.5,0.028,0.037,83.8,1,0,0
241,Caicedo,CHE,MID,5,2,2.0,0.025,0.01,45.0,0,0,0
242,Dewsbury-Hall,EVE,MID,1,2,4.5,0.3,0.015,45.0,1,0,1
242,Dewsbury-Hall,EVE,MID,2,6,4.17,0.055,0.248,67.2,1,2,1
242,Dewsbury-Hall,EVE,MID,3,19,4.42,0.134,0.156,74.8,5,4,5
242,Dewsbury-Hall,EVE,MID,4,9,3.22,0.089,0.091,60.0,1,1,1
242,Dewsbury-Hall,EVE,MID,5,2,2.0,0.04,0.02,87.5,0,0,0
249,João Pedro,CHE,FWD,1,2,7.0,0.815,0.08,80.5,2,0,2
249,João Pedro,CHE,FWD,2,6,6.67,0.408,0.072,76.3,3,4,2
249,João Pedro,CHE,FWD,3,20,4.55,0.356,0.06,70.8,7,4,6
249,João Pedro,CHE,FWD,4,10,2.8,0.314,0.009,47.2,3,1,0
249,João Pedro,CHE,FWD,5,2,2.0,0.285,0.04,75.5,0,0,0
253,Henderson,CRY,GKP,1,2,8.5,0.0,0.005,90.0,0,0,1
253,Henderson,CRY,GKP,2,6,4.83,0.0,0.0,75.0,0,0,4
253,Henderson,CRY,GKP,3,20,2.55,0.0,0.004,90.0,0,0,3
253,Henderson,CRY,GKP,4,9,3.56,0.0,0.001,90.0,0,0,3
253,Henderson,CRY,GKP,5,3,1.67,0.0,0.003,90.0,0,0,0
256,Muñoz,CRY,DEF,1,2,5.0,0.055,0.455,80.5,0,0,1
256,Muñoz,CRY,DEF,2,6,6.67,0.167,0.072,60.0,2,0,4
256,Muñoz,CRY,DEF,3,20,2.7,0.04,0.096,55.7,1,4,2
256,Muñoz,CRY,DEF,4,9,3.33,0.061,0.073,75.0,1,0,3
256,Muñoz,CRY,DEF,5,3,1.67,0.0,0.173,87.0,0,0,0
257,Lacroix,CRY,DEF,1,2,1.5,0.105,0.005,45.0,0,0,0
257,Lacroix,CRY,DEF,2,6,7.83,0.103,0.007,90.0,0,1,5
257,Lacroix,CRY,DEF,3,20,2.8,0.051,0.024,84.0,0,0,3
257,Lacroix,CRY,DEF,4,9,4.89,0.066,0.032,76.1,1,1,3
257,Lacroix,CRY,DEF,5,3,2.67,0.03,0.007,90.0,0,0,0
258,Mitchell,CRY,DEF,1,2,6.0,0.095,0.085,90.0,0,1,1
258,Mitchell,CRY,DEF,2,6,5.83,0.01,0.07,90.0,0,0,5
258,Mitchell,CRY,DEF,3,20,2.85,0.066,0.084,86.4,1,2,3
258,Mitchell,CRY,DEF,4,9,3.22,0.001,0.026,79.3,0,0,3
258,Mitchell,CRY,DEF,5,3,2.67,0.07,0.027,90.0,0,1,0
260,Guéhi,MCI,DEF,1,2,6.5,0.035,0.12,90.0,0,1,1
260,Guéhi,MCI,DEF,2,7,4.29,0.036,0.033,90.0,1,0,3
260,Guéhi,MCI,DEF,3,23,4.39,0.137,0.083,86.1,0,3,9
260,Guéhi,MCI,DEF,4,9,5.67,0.063,0.019,70.0,2,0,4
266,Eze,ARS,MID,1,2,2.0,0.205,0.035,64.0,0,0,1
266,Eze,ARS,MID,2,7,2.14,0.154,0.024,45.6,0,1,3
266,Eze,ARS,MID,3,22,3.59,0.156,0.074,47.1,7,1,5
266,Eze,ARS,MID,4,8,1.88,0.048,0.079,49.8,0,1,2
270,Hughes,CRY,MID,1,2,0.5,0.02,0.03,31.5,0,0,0
270,Hughes,CRY,MID,2,6,1.17,0.017,0.052,46.3,0,0,1
270,Hughes,CRY,MID,3,20,1.2,0.04,0.052,40.6,0,1,1
270,Hughes,CRY,MID,4,9,1.33,0.018,0.056,43.3,0,0,3
270,Hughes,CRY,MID,5,3,0.67,0.0,0.083,25.0,0,0,0
272,Lerma,CRY,MID,1,2,0.5,0.0,0.04,22.5,0,1,0
272,Lerma,CRY,MID,2,6,2.83,0.042,0.042,72.8,0,0,4
272,Lerma,CRY,MID,3,20,1.9,0.059,0.043,49.2,0,4,2
272,Lerma,CRY,MID,4,9,1.33,0.046,0.031,28.3,0,0,1
272,Lerma,CRY,MID,5,3,1.33,0.01,0.007,33.7,0,0,0
287,Pickford,EVE,GKP,1,2,4.5,0.0,0.005,90.0,0,0,1
287,Pickford,EVE,GKP,2,6,3.33,0.0,0.003,90.0,0,0,2
287,Pickford,EVE,GKP,3,19,3.79,0.0,0.005,90.0,0,0,6
287,Pickford,EVE,GKP,4,9,3.33,0.0,0.006,90.0,0,0,2
287,Pickford,EVE,GKP,5,2,2.0,0.0,0.01,90.0,0,0,0
291,Tarkowski,EVE,DEF,1,2,9.5,0.065,0.01,90.0,1,0,1
291,Tarkowski,EVE,DEF,2,6,4.0,0.038,0.023,90.0,0,0,2
291,Tarkowski,EVE,DEF,3,19,5.11,0.085,0.082,90.0,1,3,6
291,Tarkowski,EVE,DEF,4,9,3.0,0.061,0.042,90.0,0,0,2
291,Tarkowski,EVE,DEF,5,2,1.5,0.0,0.0,45.0,0,0,0
292,Mykolenko,EVE,DEF,1,2,4.0,0.065,0.025,90.0,0,0,1
292,Mykolenko,EVE,DEF,2,6,2.83,0.002,0.095,90.0,0,0,2
292,Mykolenko,EVE,DEF,3,19,2.42,0.006,0.075,75.5,0,1,4
292,Mykolenko,EVE,DEF,4,9,2.44,0.003,0.037,69.4,0,0,2
292,Mykolenko,EVE,DEF,5,2,1.0,0.0,0.045,90.0,0,0,0
293,O'Brien,EVE,DEF,1,2,4.0,0.0,0.055,90.0,0,0,1
293,O'Brien,EVE,DEF,2,6,2.33,0.115,0.01,74.7,0,0,1
293,O'Brien,EVE,DEF,3,19,3.11,0.038,0.031,84.2,0,2,6
293,O'Brien,EVE,DEF,4,9,3.44,0.028,0.027,78.9,1,1,2
293,O'Brien,EVE,DEF,5,2,2.0,0.0,0.0,90.0,0,0,0
295,Keane,EVE,DEF,1,2,3.0,0.215,0.0,44.5,1,0,0
295,Keane,EVE,DEF,2,6,7.17,0.035,0.007,75.0,2,1,2
295,Keane,EVE,DEF,3,19,2.95,0.068,0.021,65.1,0,0,4
295,Keane,EVE,DEF,4,9,2.44,0.033,0.004,70.3,0,0,1
295,Keane,EVE,DEF,5,2,2.0,0.03,0.01,90.0,0,0,0
299,Ndiaye,EVE,MID,1,2,3.0,0.02,0.21,45.0,0,1,1
299,Ndiaye,EVE,MID,2,6,2.67,0.157,0.127,73.3,1,0,1
299,Ndiaye,EVE,MID,3,19,4.16,0.213,0.125,76.9,5,1,5
299,Ndiaye,EVE,MID,4,9,2.33,0.129,0.031,68.3,0,1,1
299,Ndiaye,EVE,MID,5,2,3.0,0.245,0.29,87.5,0,0,0
303,Garner,EVE,MID,1,2,8.0,0.04,0.275,90.0,0,1,1
303,Garner,EVE,MID,2,6,3.67,0.092,0.133,90.0,0,1,2
303,Garner,EVE,MID,3,19,4.11,0.064,0.211,90.0,2,3,6
303,Garner,EVE,MID,4,9,4.0,0.016,0.09,89.2,0,2,2
303,Garner,EVE,MID,5,2,3.5,0.06,0.01,90.0,0,0,0
304,Iroegbunam,EVE,MID,1,2,4.0,0.06,0.01,46.5,0,1,0
304,Iroegbunam,EVE,MID,2,6,1.83,0.005,0.085,40.3,0,1,2
304,Iroegbunam,EVE,MID,3,19,1.84,0.019,0.006,39.7,0,1,5
304,Iroegbunam,EVE,MID,4,9,1.11,0.002,0.003,31.4,0,0,0
304,Iroegbunam,EVE,MID,5,2,2.0,0.0,0.015,52.5,0,0,1
311,Beto,EVE,FWD,1,2,1.5,0.14,0.0,42.5,0,0,1
311,Beto,EVE,FWD,2,6,2.5,0.243,0.017,49.3,1,0,1
311,Beto,EVE,FWD,3,19,3.11,0.262,0.006,40.8,6,1,2
311,Beto,EVE,FWD,4,9,2.56,0.163,0.0,28.1,2,0,0
311,Beto,EVE,FWD,5,2,2.0,0.355,0.005,71.0,0,0,1
314,Leno,FUL,GKP,1,2,5.0,0.0,0.0,90.0,0,0,1
314,Leno,FUL,GKP,2,5,4.2,0.0,0.0,90.0,0,0,2
314,Leno,FUL,GKP,3,20,3.5,0.0,0.001,90.0,0,0,6
314,Leno,FUL,GKP,4,9,1.89,0.0,0.0,90.0,0,0,0
314,Leno,FUL,GKP,5,2,2.0,0.0,0.0,90.0,0,0,0
316,Robinson,FUL,DEF,1,2,0.5,0.0,0.005,30.0,0,0,0
316,Robinson,FUL,DEF,2,5,3.2,0.196,0.06,54.0,1,0,0
316,Robinson,FUL,DEF,3,20,1.95,0.004,0.054,38.9,0,0,4
316,Robinson,FUL,DEF,4,9,0.89,0.0,0.02,32.1,0,0,0
316,Robinson,FUL,DEF,5,2,0.5,0.01,0.005,45.0,0,0,0
318,Bassey,FUL,DEF,1,2,4.0,0.0,0.015,90.0,0,0,1
318,Bassey,FUL,DEF,2,5,6.0,0.148,0.022,90.0,1,0,2
318,Bassey,FUL,DEF,3,20,2.6,0.04,0.007,58.5,0,1,4
318,Bassey,FUL,DEF,4,9,1.22,0.017,0.004,61.3,0,0,0
318,Bassey,FUL,DEF,5,2,1.0,0.015,0.015,90.0,0,0,0
319,Castagne,FUL,DEF,1,2,1.0,0.045,0.08,45.0,0,0,0
319,Castagne,FUL,DEF,2,5,1.6,0.042,0.03,20.0,0,1,0
319,Castagne,FUL,DEF,3,20,1.8,0.032,0.035,46.8,0,0,3
319,Castagne,FUL,DEF,4,9,1.56,0.044,0.05,69.0,0,1,0
319,Castagne,FUL,DEF,5,2,0.5,0.075,0.005,45.0,0,0,0
325,Smith Rowe,FUL,MID,1,2,1.0,0.065,0.04,13.0,0,0,0
325,Smith Rowe,FUL,MID,2,5,2.6,0.216,0.04,50.2,1,0,0
325,Smith Rowe,FUL,MID,3,20,2.0,0.108,0.033,56.4,0,1,6
325,Smith Rowe,FUL,MID,4,9,2.44,0.136,0.016,40.8,2,0,0
325,Smith Rowe,FUL,MID,5,2,1.5,0.055,0.02,68.0,0,0,0
332,Lukić,FUL,MID,1,2,0.0,0.0,0.0,0.0,0,0,0
332,Lukić,FUL,MID,2,5,2.4,0.1,0.02,38.2,0,1,1
332,Lukić,FUL,MID,3,20,2.0,0.075,0.048,45.4,1,2,5
332,Lukić,FUL,MID,4,9,1.56,0.026,0.092,60.0,0,1,0
332,Lukić,FUL,MID,5,2,0.5,0.0,0.005,45.0,0,0,0
338,Muniz,FUL,FWD,1,2,1.5,0.31,0.005,49.5,0,0,0
338,Muniz,FUL,FWD,2,5,1.0,0.074,0.006,35.8,0,0,1
338,Muniz,FUL,FWD,3,20,0.8,0.072,0.002,21.6,0,1,2
338,Muniz,FUL,FWD,4,9,1.11,0.092,0.007,25.7,1,0,0
338,Muniz,FUL,FWD,5,2,1.0,0.02,0.0,23.5,0,0,0
341,Darlow,LEE,GKP,1,3,3.33,0.0,0.003,90.0,0,0,1
341,Darlow,LEE,GKP,2,5,2.4,0.0,0.0,72.0,0,0,1
341,Darlow,LEE,GKP,3,21,2.19,0.0,0.001,51.4,0,0,4
341,Darlow,LEE,GKP,4,9,1.22,0.0,0.002,50.0,0,0,0
341,Darlow,LEE,GKP,5,2,0.0,0.0,0.0,0.0,0,0,0
343,Struijk,LEE,DEF,1,3,3.67,0.073,0.007,90.0,0,0,1
343,Struijk,LEE,DEF,2,5,2.4,0.076,0.016,72.0,0,0,1
343,Struijk,LEE,DEF,3,21,3.24,0.096,0.025,79.8,0,0,5
343,Struijk,LEE,DEF,4,9,2.67,0.044,0.014,70.0,0,1,1
343,Struijk,LEE,DEF,5,2,1.5,0.105,0.0,90.0,0,0,0
344,Bijol,LEE,DEF,1,3,5.0,0.02,0.003,81.0,0,1,1
344,Bijol,LEE,DEF,2,5,1.0,0.046,0.014,19.2,0,0,0
344,Bijol,LEE,DEF,3,21,3.19,0.021,0.028,52.1,1,2,4
344,Bijol,LEE,DEF,4,9,2.33,0.012,0.01,62.4,0,0,1
344,Bijol,LEE,DEF,5,2,0.5,0.06,0.0,22.5,0,0,0
348,Rodon,LEE,DEF,1,3,0.67,0.047,0.03,45.3,0,0,0
348,Rodon,LEE,DEF,2,5,4.8,0.052,0.012,90.0,1,0,1
348,Rodon,LEE,DEF,3,21,3.29,0.037,0.02,80.8,1,0,5
348,Rodon,LEE,DEF,4,9,1.44,0.027,0.006,59.6,0,0,0
348,Rodon,LEE,DEF,5,2,1.0,0.0,0.005,90.0,0,0,0
350,Aaronson,LEE,MID,1,3,2.67,0.01,0.033,59.3,0,1,1
350,Aaronson,LEE,MID,2,5,4.0,0.258,0.164,80.8,1,0,2
350,Aaronson,LEE,MID,3,21,3.48,0.106,0.106,64.3,2,6,5
350,Aaronson,LEE,MID,4,9,3.33,0.112,0.057,72.3,1,2,2
350,Aaronson,LEE,MID,5,2,1.0,0.0,0.02,12.5,0,0,0
354,Ampadu,LEE,MID,1,3,4.33,0.2,0.02,90.0,0,1,1
354,Ampadu,LEE,MID,2,5,3.8,0.084,0.112,88.0,0,1,1
354,Ampadu,LEE,MID,3,21,4.1,0.055,0.062,84.9,1,2,6
354,Ampadu,LEE,MID,4,9,2.89,0.072,0.033,79.6,0,1,1
354,Ampadu,LEE,MID,5,2,1.0,0.075,0.01,45.0,0,0,0
358,Tanaka,LEE,MID,1,3,3.67,0.047,0.07,83.0,0,1,1
358,Tanaka,LEE,MID,2,5,1.2,0.014,0.01,19.2,0,0,1
358,Tanaka,LEE,MID,3,21,1.81,0.03,0.025,39.2,1,0,2
358,Tanaka,LEE,MID,4,9,1.33,0.069,0.058,18.8,1,0,0
358,Tanaka,LEE,MID,5,2,2.5,0.0,0.13,73.5,0,0,0
373,Virgil,LIV,DEF,1,2,2.0,0.0,0.09,90.0,0,0,0
373,Virgil,LIV,DEF,2,6,5.83,0.167,0.087,90.0,1,0,3
373,Virgil,LIV,DEF,3,21,4.71,0.101,0.029,90.0,3,1,5
373,Virgil,LIV,DEF,4,7,4.29,0.093,0.016,90.0,2,0,1
373,Virgil,LIV,DEF,5,2,3.5,0.0,0.015,90.0,0,0,1
374,Konaté,LIV,DEF,1,2,2.0,0.0,0.06,90.0,0,0,0
374,Konaté,LIV,DEF,2,6,4.83,0.085,0.055,87.3,0,0,3
374,Konaté,LIV,DEF,3,21,3.62,0.032,0.012,78.1,1,0,5
374,Konaté,LIV,DEF,4,7,1.71,0.001,0.036,80.7,0,0,1
374,Konaté,LIV,DEF,5,2,4.0,0.0,0.01,90.0,0,0,1
384,Gakpo,LIV,MID,1,2,1.5,0.14,0.205,40.5,0,0,0
384,Gakpo,LIV,MID,2,6,3.33,0.23,0.09,67.2,1,1,3
384,Gakpo,LIV,MID,3,21,3.57,0.153,0.137,72.4,3,4,5
384,Gakpo,LIV,MID,4,7,4.14,0.461,0.117,86.7,3,0,1
384,Gakpo,LIV,MID,5,2,2.0,0.12,0.015,62.0,0,0,1
386,Mac Allister,LIV,MID,1,2,1.5,0.185,0.105,51.0,0,0,0
386,Mac Allister,LIV,MID,2,6,2.67,0.093,0.037,57.3,1,0,0
386,Mac Allister,LIV,MID,3,21,3.33,0.12,0.042,70.4,1,5,5
386,Mac Allister,LIV,MID,4,7,2.29,0.063,0.047,80.9,0,0,1
386,Mac Allister,LIV,MID,5,2,1.5,0.0,0.02,81.5,0,0,1
387,Szoboszlai,LIV,MID,1,2,0.0,0.47,0.19,45.0,0,0,0
387,Szoboszlai,LIV,MID,2,6,3.67,0.075,0.168,90.0,0,1,3
387,Szoboszlai,LIV,MID,3,21,3.95,0.105,0.198,85.3,3,3,4
387,Szoboszlai,LIV,MID,4,7,7.29,0.131,0.177,90.0,3,3,1
387,Szoboszlai,LIV,MID,5,2,2.0,0.125,0.02,90.0,0,0,1
388,C.Jones,LIV,MID,1,2,5.0,0.12,0.115,88.0,0,1,0
388,C.Jones,LIV,MID,2,6,1.0,0.018,0.048,30.0,0,0,1
388,C.Jones,LIV,MID,3,21,2.33,0.07,0.074,56.8,1,1,2
388,C.Jones,LIV,MID,4,7,2.29,0.057,0.097,51.1,0,1,0
388,C.Jones,LIV,MID,5,2,0.0,0.0,0.005,8.0,0,0,0
390,Gravenberch,LIV,MID,1,2,6.5,0.21,0.12,83.5,1,0,0
390,Gravenberch,LIV,MID,2,6,3.17,0.043,0.063,74.2,0,1,2
390,Gravenberch,LIV,MID,3,21,4.24,0.049,0.06,77.3,4,3,5
390,Gravenberch,LIV,MID,4,7,2.57,0.023,0.021,82.3,0,1,1
390,Gravenberch,LIV,MID,5,2,2.5,0.01,0.11,90.0,0,0,1
406,Khusanov,MCI,DEF,1,2,3.0,0.0,0.01,45.0,0,0,1
406,Khusanov,MCI,DEF,2,7,2.57,0.016,0.031,34.4,0,0,1
406,Khusanov,MCI,DEF,3,23,1.04,0.01,0.04,31.6,0,0,2
406,Khusanov,MCI,DEF,4,9,4.33,0.049,0.032,66.0,0,0,4
407,Matheus N.,MCI,DEF,1,2,11.5,0.09,0.095,90.0,1,2,1
407,Matheus N.,MCI,DEF,2,7,4.71,0.0,0.071,76.1,0,3,3
407,Matheus N.,MCI,DEF,3,23,3.26,0.006,0.056,78.5,0,1,7
407,Matheus N.,MCI,DEF,4,9,4.33,0.003,0.047,69.3,0,3,3
414,Foden,MCI,MID,1,2,1.0,0.0,0.11,59.5,0,0,0
414,Foden,MCI,MID,2,7,5.14,0.271,0.097,46.1,3,2,3
414,Foden,MCI,MID,3,23,3.7,0.181,0.171,58.7,3,5,6
414,Foden,MCI,MID,4,9,2.11,0.071,0.058,37.1,1,0,2
415,Savinho,MCI,MID,1,2,1.0,0.015,0.03,30.5,0,0,0
415,Savinho,MCI,MID,2,7,0.57,0.06,0.019,8.3,0,0,0
415,Savinho,MCI,MID,3,23,1.83,0.105,0.06,27.8,2,2,4
415,Savinho,MCI,MID,4,9,0.67,0.028,0.02,19.3,0,0,0
416,Bernardo,MCI,MID,1,2,3.5,0.0,0.03,48.5,0,1,1
416,Bernardo,MCI,MID,2,7,2.43,0.066,0.131,78.1,0,0,4
416,Bernardo,MCI,MID,3,23,2.48,0.064,0.079,75.9,1,1,7
416,Bernardo,MCI,MID,4,9,3.78,0.147,0.183,81.9,1,2,4
437,Martinez,MUN,DEF,1,2,1.0,0.0,0.015,45.0,0,0,0
437,Martinez,MUN,DEF,2,6,0.17,0.002,0.053,43.0,0,0,0
437,Martinez,MUN,DEF,3,21,1.62,0.005,0.009,27.0,0,0,3
437,Martinez,MUN,DEF,4,7,2.14,0.003,0.007,32.1,0,0,2
437,Martinez,MUN,DEF,5,2,-0.5,0.005,0.005,45.0,0,0,0
442,Maguire,MUN,DEF,1,2,0.0,0.0,0.0,0.0,0,0,0
442,Maguire,MUN,DEF,2,6,0.5,0.042,0.0,15.8,0,0,0
442,Maguire,MUN,DEF,3,21,2.76,0.023,0.019,50.8,0,2,5
442,Maguire,MUN,DEF,4,7,3.57,0.056,0.014,52.9,1,0,2
442,Maguire,MUN,DEF,5,2,2.0,0.0,0.0,59.0,0,0,0
443,Shaw,MUN,DEF,1,2,1.5,0.0,0.09,90.0,0,0,0
443,Shaw,MUN,DEF,2,6,1.83,0.005,0.05,89.5,0,0,1
443,Shaw,MUN,DEF,3,21,3.14,0.031,0.054,81.9,1,1,6
443,Shaw,MUN,DEF,4,7,4.43,0.004,0.044,86.3,0,0,3
443,Shaw,MUN,DEF,5,2,1.0,0.0,0.025,90.0,0,0,0
449,B.Fernandes,MUN,MID,1,2,5.0,0.46,0.125,45.0,1,0,0
449,B.Fernandes,MUN,MID,2,6,7.67,0.327,0.5,85.0,2,5,1
449,B.Fernandes,MUN,MID,3,21,6.0,0.326,0.305,81.2,5,13,3
449,B.Fernandes,MUN,MID,4,7,6.57,0.096,0.324,82.7,1,5,3
449,B.Fernandes,MUN,MID,5,2,3.5,0.195,0.175,90.0,0,1,0
450,Cunha,MUN,MID,1,2,1.5,0.07,0.085,60.0,0,0,0
450,Cunha,MUN,MID,2,6,3.5,0.35,0.092,71.2,1,1,2
450,Cunha,MUN,MID,3,21,3.76,0.152,0.094,70.0,5,2,5
450,Cunha,MUN,MID,4,7,4.43,0.206,0.094,65.0,3,1,1
450,Cunha,MUN,MID,5,2,4.5,0.015,0.005,10.5,1,0,0
452,Amad,MUN,MID,1,2,2.5,0.315,0.03,45.0,0,1,0
452,Amad,MUN,MID,2,6,2.5,0.16,0.198,71.5,0,1,1
452,Amad,MUN,MID,3,21,2.43,0.161,0.088,62.6,2,1,3
452,Amad,MUN,MID,4,7,2.29,0.06,0.154,46.9,0,2,2
452,Amad,MUN,MID,5,2,2.0,0.035,0.285,88.5,0,0,0
458,Mainoo,MUN,MID,1,2,0.5,0.035,0.045,22.5,0,0,0
458,Mainoo,MUN,MID,2,6,1.17,0.008,0.007,21.8,0,0,0
458,Mainoo,MUN,MID,3,21,1.9,0.007,0.049,47.3,0,1,3
458,Mainoo,MUN,MID,4,7,2.71,0.027,0.013,52.1,1,0,3
458,Mainoo,MUN,MID,5,2,3.0,0.01,0.015,59.0,0,1,0
469,Pope,NEW,GKP,1,2,4.0,0.0,0.0,45.0,0,0,1
469,Pope,NEW,GKP,2,6,2.83,0.0,0.0,75.0,0,0,1
469,Pope,NEW,GKP,3,19,2.42,0.0,0.0,60.8,0,0,4
469,Pope,NEW,GKP,4,9,2.33,0.0,0.0,60.0,0,1,1
469,Pope,NEW,GKP,5,2,2.0,0.08,0.0,90.0,0,0,0
473,Hall,NEW,DEF,1,2,0.5,0.055,0.01,13.5,0,0,0
473,Hall,NEW,DEF,2,6,3.17,0.06,0.137,75.0,0,1,1
473,Hall,NEW,DEF,3,19,1.95,0.017,0.084,61.1,0,1,2
473,Hall,NEW,DEF,4,9,1.67,0.017,0.038,49.8,0,0,1
473,Hall,NEW,DEF,5,2,3.5,0.03,0.005,45.0,1,0,0
475,Botman,NEW,DEF,1,2,0.5,0.0,0.0,0.5,0,0,0
475,Botman,NEW,DEF,2,6,2.67,0.05,0.013,56.3,0,1,1
475,Botman,NEW,DEF,3,19,2.74,0.066,0.038,59.0,1,0,3
475,Botman,NEW,DEF,4,9,1.78,0.006,0.001,31.6,0,0,1
475,Botman,NEW,DEF,5,2,2.0,0.065,0.025,45.0,0,0,0
476,Burn,NEW,DEF,1,2,6.5,0.02,0.01,76.0,0,0,2
476,Burn,NEW,DEF,2,6,1.0,0.033,0.002,32.5,0,0,0
476,Burn,NEW,DEF,3,19,2.74,0.038,0.01,58.7,1,3,3
476,Burn,NEW,DEF,4,9,1.89,0.001,0.014,61.4,0,0,1
476,Burn,NEW,DEF,5,2,2.5,0.055,0.005,90.0,0,0,0
488,Bruno G.,NEW,MID,1,2,6.0,0.11,0.145,90.0,1,0,1
488,Bruno G.,NEW,MID,2,6,6.33,0.387,0.242,75.0,3,1,1
488,Bruno G.,NEW,MID,3,19,4.05,0.104,0.121,64.1,4,4,3
488,Bruno G.,NEW,MID,4,9,2.78,0.113,0.084,59.4,1,2,1
488,Bruno G.,NEW,MID,5,2,1.0,0.03,0.085,37.0,0,0,0
489,J.Murphy,NEW,MID,1,2,3.0,0.41,0.14,45.0,0,1,1
489,J.Murphy,NEW,MID,2,6,2.0,0.138,0.018,21.2,1,0,0
489,J.Murphy,NEW,MID,3,19,2.47,0.059,0.081,49.1,2,1,5
489,J.Murphy,NEW,MID,4,9,1.56,0.033,0.08,42.1,0,0,2
489,J.Murphy,NEW,MID,5,2,1.5,0.0,0.005,38.5,0,0,0
491,Tonali,NEW,MID,1,2,2.0,0.07,0.01,45.5,0,0,1
491,Tonali,NEW,MID,2,6,1.17,0.027,0.018,47.0,0,0,1
491,Tonali,NEW,MID,3,19,2.32,0.064,0.049,69.5,0,1,4
491,Tonali,NEW,MID,4,9,2.44,0.019,0.162,73.3,0,1,1
491,Tonali,NEW,MID,5,2,2.0,0.03,0.17,90.0,0,0,0
