element,web_name,team,position,total_mins_season,starts_last4,pts_per90_season,pts_per90_4gw,pts_delta,xg_per90_season,xg_per90_4gw,xg_delta,xa_per90_season,xa_per90_4gw,xa_delta,xgi_per90_season,xgi_per90_4gw,xgi_delta,saves_per90_season,saves_per90_4gw,saves_delta,streak,pts_threshold_used,total_points_per90_season,goals_scored_per90_season,assists_per90_season,clean_sheets_per90_season,expected_goals_per90_season,expected_assists_per90_season,expected_goal_involvements_per90_season,expected_goals_conceded_per90_season,bonus_per90_season,bps_per90_season,clearances_blocks_interceptions_per90_season,tackles_per90_season,defensive_contribution_per90_season,total_points_per90_4gw,goals_scored_per90_4gw,assists_per90_4gw,clean_sheets_per90_4gw,expected_goals_per90_4gw,expected_assists_per90_4gw,expected_goal_involvements_per90_4gw,expected_goals_conceded_per90_4gw,bonus_per90_4gw,bps_per90_4gw,clearances_blocks_interceptions_per90_4gw,tackles_per90_4gw,defensive_contribution_per90_4gw,total_points_delta,goals_scored_delta,assists_delta,clean_sheets_delta,expected_goals_delta,expected_assists_delta,expected_goal_involvements_delta,expected_goals_conceded_delta,bonus_delta,bps_delta,clearances_blocks_interceptions_delta,tackles_delta,defensive_contribution_delta
1,Raya,ARS,GKP,3330,3,4.378,7.0,2.622,0.0,0.0,0.0,0.002,0.003,0.001,0.002,0.003,0.001,1.622,1.333,-0.289,🔥 Hot,0.876,4.378,0.0,0.0,0.514,0.0,0.002,0.002,0.745,0.297,17.108,1.0,0.027,0.0,7.0,0.0,0.0,1.0,0.0,0.003,0.003,0.57,0.667,23.667,1.333,0.0,0.0,2.622,0.0,0.0,0.486,0.0,0.001,0.001,-0.175,0.37,6.559,0.333,-0.027,0.0
5,Gabriel,ARS,DEF,2750,3,6.84,6.857,0.017,0.096,0.269,0.173,0.057,0.02,-0.037,0.153,0.289,0.136,0.0,0.0,0.0,Neutral,1.368,6.84,0.098,0.164,0.589,0.096,0.057,0.153,0.72,0.982,23.695,7.822,1.244,9.065,6.857,0.0,0.0,0.857,0.269,0.02,0.289,0.754,0.857,25.143,7.429,0.857,8.286,0.017,-0.098,-0.164,0.268,0.173,-0.037,0.136,0.034,-0.125,1.448,-0.393,-0.387,-0.779
6,Saliba,ARS,DEF,2614,3,4.717,6.333,1.616,0.03,0.0,-0.03,0.042,0.16,0.118,0.072,0.16,0.088,0.0,0.0,0.0,🔥 Hot,0.943,4.717,0.034,0.0,0.516,0.03,0.042,0.072,0.703,0.413,20.004,5.44,1.205,6.645,6.333,0.0,0.0,1.0,0.0,0.16,0.16,0.57,0.667,26.667,6.333,0.667,7.0,1.616,-0.034,0.0,0.484,-0.03,0.118,0.088,-0.133,0.254,6.663,0.893,-0.538,0.355
7,Calafiori,ARS,DEF,1697,4,5.781,5.737,-0.044,0.178,0.158,-0.02,0.04,0.097,0.057,0.219,0.255,0.036,0.0,0.0,0.0,Neutral,1.156,5.781,0.053,0.106,0.689,0.178,0.04,0.219,0.515,0.318,20.631,3.712,1.697,5.41,5.737,0.0,0.0,0.717,0.158,0.097,0.255,0.273,0.717,17.928,2.151,0.359,2.51,-0.044,-0.053,-0.106,0.028,-0.02,0.057,0.036,-0.242,0.399,-2.703,-1.561,-1.338,-2.9
10,Lewis-Skelly,ARS,DEF,697,3,3.745,4.704,0.959,0.013,0.0,-0.013,0.026,0.034,0.008,0.039,0.034,-0.005,0.0,0.0,0.0,🔥 Hot,0.749,3.745,0.0,0.0,0.258,0.013,0.026,0.039,1.163,0.0,14.204,2.195,1.033,3.228,4.704,0.0,0.0,0.627,0.0,0.034,0.034,0.784,0.0,20.697,0.941,0.627,1.568,0.959,0.0,0.0,0.369,-0.013,0.008,-0.005,-0.379,0.0,6.493,-1.254,-0.406,-1.66
16,Saka,ARS,MID,2218,3,6.371,9.673,3.302,0.307,0.227,-0.08,0.291,0.589,0.298,0.598,0.816,0.218,0.0,0.0,0.0,🔥 Hot,1.274,6.371,0.284,0.406,0.487,0.307,0.291,0.598,0.632,0.73,23.129,1.136,1.623,7.466,9.673,0.421,0.841,0.841,0.227,0.589,0.816,0.484,1.682,29.86,1.262,2.103,8.411,3.302,0.137,0.435,0.354,-0.08,0.298,0.218,-0.148,0.952,6.731,0.126,0.48,0.945
20,Trossard,ARS,MID,1997,3,5.363,6.0,0.637,0.252,0.213,-0.039,0.162,0.263,0.101,0.414,0.473,0.059,0.0,0.0,0.0,Neutral,1.073,5.363,0.27,0.27,0.496,0.252,0.162,0.414,0.628,0.496,20.055,1.172,1.217,5.994,6.0,0.333,0.333,1.0,0.213,0.263,0.473,0.57,0.667,26.667,0.0,0.333,4.0,0.637,0.063,0.063,0.504,-0.039,0.101,0.059,-0.058,0.171,6.612,-1.172,-0.884,-1.994
21,Rice,ARS,MID,3093,3,5.354,4.815,-0.539,0.092,0.0,-0.092,0.213,0.174,-0.039,0.305,0.174,-0.131,0.0,0.0,0.0,Neutral,1.071,5.354,0.116,0.262,0.524,0.092,0.213,0.305,0.695,0.669,22.987,3.695,2.008,10.941,4.815,0.0,0.0,1.111,0.0,0.174,0.174,0.57,0.0,18.889,5.556,2.593,14.074,-0.539,-0.116,-0.262,0.587,-0.092,-0.039,-0.131,-0.125,-0.669,-4.098,1.861,0.585,3.133
32,Martinez,AVL,GKP,2835,3,3.81,3.333,-0.477,0.0,0.0,0.0,0.003,0.003,0.0,0.003,0.003,0.0,3.016,3.333,0.317,Neutral,0.762,3.81,0.0,0.032,0.222,0.0,0.003,0.003,1.363,0.349,16.825,0.857,0.0,0.0,3.333,0.0,0.333,0.0,0.0,0.003,0.003,1.403,0.333,14.667,0.333,0.0,0.0,-0.477,0.0,0.301,-0.222,0.0,0.0,0.0,0.04,-0.016,-2.158,-0.524,0.0,0.0
36,Cash,AVL,DEF,3016,3,3.491,2.072,-1.419,0.034,0.003,-0.031,0.088,0.056,-0.032,0.122,0.059,-0.063,0.0,0.0,0.0,🧊 Cold,0.698,3.491,0.09,0.09,0.239,0.034,0.088,0.122,1.356,0.209,13.428,3.581,1.969,5.55,2.072,0.0,0.296,0.0,0.003,0.056,0.059,1.243,0.296,9.77,2.368,2.664,5.033,-1.419,-0.09,0.206,-0.239,-0.031,-0.032,-0.063,-0.113,0.087,-3.658,-1.213,0.695,-0.517
39,Maatsen,AVL,DEF,1590,3,3.057,2.791,-0.266,0.071,0.021,-0.05,0.135,0.052,-0.083,0.207,0.073,-0.134,0.0,0.0,0.0,Neutral,0.611,3.057,0.0,0.057,0.113,0.071,0.135,0.207,1.508,0.057,13.698,4.811,2.434,7.245,2.791,0.0,0.0,0.0,0.021,0.052,0.073,1.476,0.349,6.279,6.279,2.442,8.721,-0.266,0.0,-0.057,-0.113,-0.05,-0.083,-0.134,-0.032,0.292,-7.419,1.468,0.008,1.476
40,Mings,AVL,DEF,1322,3,3.404,1.667,-1.737,0.089,0.073,-0.016,0.029,0.01,-0.019,0.117,0.083,-0.034,0.0,0.0,0.0,🧊 Cold,0.681,3.404,0.0,0.068,0.204,0.089,0.029,0.117,1.591,0.272,11.505,6.944,0.34,7.284,1.667,0.0,0.0,0.0,0.073,0.01,0.083,1.373,0.0,5.667,6.667,0.333,7.0,-1.737,0.0,-0.068,-0.204,-0.016,-0.019,-0.034,-0.218,-0.272,-5.838,-0.277,-0.007,-0.284
47,Rogers,AVL,MID,3280,3,4.637,5.0,0.363,0.188,0.073,-0.115,0.119,0.1,-0.019,0.306,0.173,-0.133,0.0,0.0,0.0,Neutral,0.927,4.637,0.274,0.22,0.247,0.188,0.119,0.306,1.414,0.466,16.601,1.345,1.152,6.311,5.0,0.333,0.333,0.0,0.073,0.1,0.173,1.403,0.667,21.333,1.333,2.333,8.333,0.363,0.059,0.113,-0.247,-0.115,-0.019,-0.133,-0.011,0.201,4.732,-0.012,1.181,2.022
48,Tielemans,AVL,MID,1857,3,3.296,2.832,-0.464,0.055,0.035,-0.02,0.158,0.126,-0.032,0.213,0.16,-0.053,0.0,0.0,0.0,Neutral,0.659,3.296,0.0,0.194,0.194,0.055,0.158,0.213,1.519,0.145,20.21,2.472,2.811,9.838,2.832,0.0,0.0,0.0,0.035,0.126,0.16,1.281,0.0,18.881,2.203,2.517,9.755,-0.464,0.0,-0.194,-0.194,-0.02,-0.032,-0.053,-0.238,-0.145,-1.329,-0.269,-0.294,-0.083
55,Barkley,AVL,MID,844,3,5.972,4.915,-1.057,0.168,0.237,0.069,0.134,0.046,-0.088,0.303,0.283,-0.02,0.0,0.0,0.0,Neutral,1.194,5.972,0.32,0.213,0.107,0.168,0.134,0.303,1.408,0.533,23.566,1.6,1.493,7.891,4.915,0.307,0.307,0.0,0.237,0.046,0.283,1.57,0.614,15.358,0.307,1.229,5.222,-1.057,-0.013,0.094,-0.107,0.069,-0.088,-0.02,0.162,0.081,-8.208,-1.293,-0.264,-2.669
64,Watkins,AVL,FWD,2833,3,5.305,11.4,6.095,0.489,0.876,0.387,0.037,0.012,-0.025,0.527,0.888,0.361,0.0,0.0,0.0,🔥 Hot,1.061,5.305,0.508,0.127,0.286,0.489,0.037,0.527,1.378,0.826,19.792,0.731,0.699,2.986,11.4,1.5,0.3,0.0,0.876,0.012,0.888,1.377,2.7,48.0,0.6,0.3,1.5,6.095,0.992,0.173,-0.286,0.387,-0.025,0.361,-0.001,1.874,28.208,-0.131,-0.399,-1.486
67,Petrović,BOU,GKP,3420,4,3.263,4.5,1.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.868,2.25,-0.618,🔥 Hot,0.653,3.263,0.0,0.0,0.289,0.0,0.0,0.0,1.493,0.132,13.474,1.632,0.0,0.0,4.5,0.0,0.0,0.5,0.0,0.0,0.0,1.405,0.0,19.0,0.5,0.0,0.0,1.237,0.0,0.0,0.211,0.0,0.0,0.0,-0.088,-0.132,5.526,-1.132,0.0,0.0
72,Senesi,BOU,DEF,3288,4,4.79,7.0,2.21,0.042,0.0,-0.042,0.129,0.05,-0.079,0.171,0.05,-0.121,0.0,0.0,0.0,🔥 Hot,0.958,4.79,0.0,0.164,0.301,0.042,0.129,0.171,1.499,0.383,15.63,9.772,1.697,11.469,7.0,0.0,0.25,0.5,0.0,0.05,0.05,1.405,0.75,22.25,8.75,1.5,10.25,2.21,0.0,0.086,0.199,-0.042,-0.079,-0.121,-0.094,0.367,6.62,-1.022,-0.197,-1.219
73,Smith,BOU,DEF,1073,3,4.865,6.381,1.516,0.0,0.0,0.0,0.019,0.01,-0.009,0.019,0.01,-0.009,0.0,0.0,0.0,🔥 Hot,0.973,4.865,0.0,0.168,0.503,0.0,0.019,0.019,1.525,0.336,15.517,4.613,1.258,5.871,6.381,0.0,0.336,0.672,0.0,0.01,0.01,1.417,0.672,20.821,4.701,1.007,5.709,1.516,0.0,0.168,0.169,0.0,-0.009,-0.009,-0.108,0.336,5.304,0.088,-0.251,-0.162
74,Truffert,BOU,DEF,3378,4,4.396,6.5,2.104,0.036,0.092,0.056,0.082,0.112,0.03,0.118,0.205,0.087,0.0,0.0,0.0,🔥 Hot,0.879,4.396,0.027,0.16,0.293,0.036,0.082,0.118,1.45,0.506,16.172,5.302,2.718,8.02,6.5,0.0,0.5,0.5,0.092,0.112,0.205,1.405,1.25,26.75,2.5,3.25,5.75,2.104,-0.027,0.34,0.207,0.056,0.03,0.087,-0.045,0.744,10.578,-2.802,0.532,-2.27
77,Hill,BOU,DEF,2102,4,4.71,5.0,0.29,0.038,0.025,-0.013,0.05,0.015,-0.035,0.087,0.04,-0.047,0.0,0.0,0.0,Neutral,0.942,4.71,0.0,0.128,0.343,0.038,0.05,0.087,1.431,0.171,16.527,9.462,1.67,11.132,5.0,0.0,0.0,0.5,0.025,0.015,0.04,1.405,0.5,17.0,8.75,1.5,10.25,0.29,0.0,-0.128,0.157,-0.013,-0.035,-0.047,-0.026,0.329,0.473,-0.712,-0.17,-0.882
82,Semenyo,MCI,MID,3200,4,5.681,5.856,0.175,0.312,0.136,-0.176,0.088,0.117,0.029,0.4,0.253,-0.147,0.0,0.0,0.0,Neutral,1.136,5.681,0.478,0.169,0.337,0.312,0.088,0.4,1.341,0.506,19.069,1.378,1.266,6.637,5.856,0.616,0.0,0.616,0.136,0.117,0.253,0.653,0.308,20.959,1.541,0.308,4.007,0.175,0.138,-0.169,0.279,-0.176,0.029,-0.147,-0.688,-0.198,1.89,0.163,-0.958,-2.63
83,O.Dango,BRE,MID,2271,3,5.39,7.423,2.033,0.315,0.482,0.167,0.163,0.074,-0.089,0.478,0.557,0.079,0.0,0.0,0.0,🔥 Hot,1.078,5.39,0.277,0.317,0.238,0.315,0.163,0.478,1.377,0.634,17.001,3.012,0.951,7.332,7.423,0.619,0.309,0.309,0.482,0.074,0.557,2.153,0.928,21.959,2.165,1.546,5.876,2.033,0.342,-0.008,0.071,0.167,-0.089,0.079,0.776,0.294,4.958,-0.847,0.595,-1.456
84,Tavernier,BOU,MID,2732,4,4.513,4.474,-0.039,0.298,0.158,-0.14,0.152,0.205,0.053,0.45,0.363,-0.087,0.0,0.0,0.0,Neutral,0.903,4.513,0.231,0.132,0.362,0.298,0.152,0.45,1.353,0.461,18.184,2.042,1.285,8.269,4.474,0.263,0.0,0.526,0.158,0.205,0.363,1.247,0.789,22.368,1.842,1.053,7.368,-0.039,0.032,-0.132,0.164,-0.14,0.053,-0.087,-0.106,0.328,4.184,-0.2,-0.232,-0.901
85,Adams,BOU,MID,1769,3,3.917,3.356,-0.561,0.032,0.006,-0.026,0.032,0.037,0.005,0.064,0.043,-0.021,0.0,0.0,0.0,Neutral,0.783,3.917,0.102,0.102,0.356,0.032,0.032,0.064,1.383,0.153,17.603,4.223,2.696,11.803,3.356,0.0,0.0,0.305,0.006,0.037,0.043,1.345,0.0,12.508,3.966,3.356,12.508,-0.561,-0.102,-0.102,-0.051,-0.026,0.005,-0.021,-0.038,-0.153,-5.095,-0.257,0.66,0.705
90,Scott,BOU,MID,2848,3,4.298,3.667,-0.631,0.12,0.013,-0.107,0.093,0.107,0.014,0.213,0.12,-0.093,0.0,0.0,0.0,Neutral,0.86,4.298,0.095,0.063,0.348,0.12,0.093,0.213,1.486,0.284,19.055,4.203,1.896,12.198,3.667,0.0,0.0,0.667,0.013,0.107,0.12,1.183,0.0,15.333,3.0,2.0,13.333,-0.631,-0.095,-0.063,0.319,-0.107,0.014,-0.093,-0.303,-0.284,-3.722,-1.203,0.104,1.135
97,Evanilson,BOU,FWD,2741,4,3.776,3.203,-0.573,0.349,0.346,-0.003,0.049,0.07,0.021,0.398,0.416,0.018,0.0,0.0,0.0,Neutral,0.755,3.776,0.197,0.23,0.361,0.349,0.049,0.398,1.281,0.197,13.528,1.379,0.427,4.433,3.203,0.0,0.32,0.641,0.346,0.07,0.416,1.025,0.0,14.093,2.562,0.961,7.367,-0.573,-0.197,0.09,0.28,-0.003,0.021,0.018,-0.256,-0.197,0.565,1.183,0.534,2.934
100,Kroupi.Jr,BOU,FWD,1663,4,6.115,5.51,-0.605,0.45,0.444,-0.006,0.082,0.077,-0.005,0.531,0.52,-0.011,0.0,0.0,0.0,Neutral,1.223,6.115,0.704,0.0,0.541,0.45,0.082,0.531,1.402,0.704,25.977,2.273,0.487,6.061,5.51,0.612,0.0,0.918,0.444,0.077,0.52,1.059,0.612,19.898,1.224,0.306,4.286,-0.605,-0.092,0.0,0.377,-0.006,-0.005,-0.011,-0.343,-0.092,-6.079,-1.049,-0.181,-1.775
101,Kelleher,BRE,GKP,3330,4,3.865,4.75,0.885,0.0,0.0,0.0,0.006,0.0,-0.006,0.006,0.0,-0.006,2.946,5.25,2.304,🔥 Hot,0.773,3.865,0.0,0.0,0.27,0.0,0.006,0.006,1.445,0.297,15.405,1.297,0.027,0.0,4.75,0.0,0.0,0.25,0.0,0.0,0.0,2.165,0.75,20.5,1.75,0.0,0.0,0.885,0.0,0.0,-0.02,0.0,-0.006,-0.006,0.72,0.453,5.095,0.453,-0.027,0.0
106,Collins,BRE,DEF,2971,4,3.908,3.25,-0.658,0.068,0.025,-0.043,0.052,0.085,0.033,0.12,0.11,-0.01,0.0,0.0,0.0,Neutral,0.782,3.908,0.03,0.061,0.273,0.068,0.052,0.12,1.44,0.212,13.632,8.694,0.969,9.663,3.25,0.0,0.0,0.25,0.025,0.085,0.11,2.165,0.0,13.25,8.0,1.25,9.25,-0.658,-0.03,-0.061,-0.023,-0.043,0.033,-0.01,0.725,-0.212,-0.382,-0.694,0.281,-0.413
107,Lewis-Potter,BRE,DEF,1960,4,5.281,4.525,-0.756,0.138,0.088,-0.05,0.115,0.096,-0.019,0.253,0.184,-0.069,0.0,0.0,0.0,Neutral,1.056,5.281,0.138,0.184,0.413,0.138,0.115,0.253,1.549,0.23,16.347,2.342,1.056,3.398,4.525,0.0,0.503,0.251,0.088,0.096,0.184,1.926,0.503,15.587,2.765,1.006,3.771,-0.756,-0.138,0.319,-0.162,-0.05,-0.019,-0.069,0.377,0.273,-0.76,0.423,-0.05,0.373
110,Kayode,BRE,DEF,3258,4,3.122,2.0,-1.122,0.035,0.0,-0.035,0.08,0.035,-0.045,0.115,0.035,-0.08,0.0,0.0,0.0,🧊 Cold,0.624,3.122,0.028,0.055,0.276,0.035,0.08,0.115,1.454,0.249,13.646,4.171,1.878,6.05,2.0,0.0,0.0,0.25,0.0,0.035,0.035,2.165,0.0,6.0,2.5,1.5,4.0,-1.122,-0.028,-0.055,-0.026,-0.035,-0.045,-0.08,0.711,-0.249,-7.646,-1.671,-0.378,-2.05
119,Mbeumo,MUN,MID,2611,3,5.101,7.095,1.994,0.413,1.471,1.058,0.172,0.172,0.0,0.585,1.643,1.058,0.0,0.0,0.0,🔥 Hot,1.02,5.101,0.379,0.103,0.276,0.413,0.172,0.585,1.236,0.552,18.2,0.793,0.862,4.791,7.095,0.747,0.0,0.373,1.471,0.172,1.643,1.102,0.373,23.527,0.373,0.373,4.481,1.994,0.368,-0.103,0.097,1.058,0.0,1.058,-0.134,-0.179,5.327,-0.42,-0.489,-0.31
120,Schade,BRE,MID,2744,3,4.1,4.091,-0.009,0.396,0.352,-0.044,0.067,0.0,-0.067,0.463,0.352,-0.111,0.0,0.0,0.0,Neutral,0.82,4.1,0.262,0.164,0.361,0.396,0.067,0.463,1.314,0.164,12.628,1.771,1.378,6.232,4.091,0.315,0.0,0.315,0.352,0.0,0.352,2.197,0.0,7.552,0.944,1.573,4.406,-0.009,0.053,-0.164,-0.046,-0.044,-0.067,-0.111,0.883,-0.164,-5.076,-0.827,0.195,-1.826
121,Damsgaard,BRE,MID,2046,3,4.971,6.353,1.382,0.115,0.166,0.051,0.239,0.293,0.054,0.354,0.459,0.105,0.0,0.0,0.0,🔥 Hot,0.994,4.971,0.176,0.176,0.22,0.115,0.239,0.354,1.388,0.396,20.543,1.979,2.507,10.601,6.353,0.353,0.0,0.353,0.166,0.293,0.459,1.913,1.059,24.0,2.824,2.471,13.412,1.382,0.177,-0.176,0.133,0.051,0.054,0.105,0.525,0.663,3.457,0.845,-0.036,2.811
126,Jensen,BRE,MID,2239,4,3.939,3.056,-0.883,0.089,0.022,-0.067,0.244,0.25,0.006,0.332,0.272,-0.06,0.0,0.0,0.0,🧊 Cold,0.788,3.939,0.121,0.08,0.362,0.089,0.244,0.332,1.436,0.04,18.691,2.492,1.608,8.843,3.056,0.0,0.0,0.278,0.022,0.25,0.272,2.089,0.0,14.444,3.056,2.222,10.0,-0.883,-0.121,-0.08,-0.084,-0.067,0.006,-0.06,0.653,-0.04,-4.247,0.564,0.614,1.157
129,Yarmoliuk,BRE,MID,2652,3,3.529,4.57,1.041,0.041,0.011,-0.03,0.047,0.032,-0.015,0.089,0.042,-0.047,0.0,0.0,0.0,🔥 Hot,0.706,3.529,0.034,0.102,0.271,0.041,0.047,0.089,1.368,0.034,15.204,2.817,2.342,11.471,4.57,0.0,0.352,0.352,0.011,0.032,0.042,1.835,0.352,19.688,4.57,2.812,13.711,1.041,-0.034,0.25,0.081,-0.03,-0.015,-0.047,0.467,0.318,4.484,1.753,0.47,2.24
136,Thiago,BRE,FWD,3282,4,4.963,3.0,-1.963,0.565,0.368,-0.197,0.05,0.018,-0.032,0.615,0.385,-0.23,0.0,0.0,0.0,🧊 Cold,0.993,4.963,0.603,0.027,0.274,0.565,0.05,0.615,1.458,0.603,19.47,2.303,1.015,5.868,3.0,0.25,0.0,0.25,0.368,0.018,0.385,2.165,0.0,9.25,3.25,1.25,5.5,-1.963,-0.353,-0.027,-0.024,-0.197,-0.032,-0.23,0.707,-0.603,-10.22,0.947,0.235,-0.368
139,Verbruggen,BHA,GKP,3420,4,3.421,3.0,-0.421,0.0,0.0,0.0,0.002,0.0,-0.002,0.002,0.0,-0.002,2.789,2.75,-0.039,Neutral,0.684,3.421,0.0,0.0,0.263,0.0,0.002,0.002,1.291,0.158,16.211,0.842,0.026,0.0,3.0,0.0,0.0,0.25,0.0,0.0,0.0,1.425,0.0,10.25,0.75,0.0,0.0,-0.421,0.0,0.0,-0.013,0.0,-0.002,-0.002,0.134,-0.158,-5.961,-0.092,-0.026,0.0
145,De Cuyper,BHA,DEF,1404,3,5.385,7.013,1.628,0.106,0.043,-0.063,0.262,0.713,0.451,0.368,0.756,0.388,0.0,0.0,0.0,🔥 Hot,1.077,5.385,0.128,0.192,0.321,0.106,0.262,0.368,1.544,0.577,20.385,2.692,1.41,4.103,7.013,0.0,0.779,0.39,0.043,0.713,0.756,1.177,1.169,28.442,2.727,1.169,3.896,1.628,-0.128,0.587,0.069,-0.063,0.451,0.388,-0.367,0.592,8.057,0.035,-0.241,-0.207
146,Dunk,BHA,DEF,2837,3,3.172,5.956,2.784,0.058,0.175,0.117,0.018,0.017,-0.001,0.076,0.192,0.116,0.0,0.0,0.0,🔥 Hot,0.634,3.172,0.032,0.032,0.222,0.058,0.018,0.076,1.329,0.159,14.054,6.218,1.11,7.328,5.956,0.331,0.0,0.331,0.175,0.017,0.192,1.188,0.662,17.868,3.971,0.662,4.632,2.784,0.299,-0.032,0.109,0.117,-0.001,0.116,-0.141,0.503,3.814,-2.247,-0.448,-2.696
148,F.Kadıoğlu,BHA,DEF,3130,4,3.393,2.5,-0.893,0.059,0.015,-0.044,0.095,0.195,0.1,0.154,0.21,0.056,0.0,0.0,0.0,🧊 Cold,0.679,3.393,0.029,0.058,0.288,0.059,0.095,0.154,1.283,0.201,14.78,3.249,1.639,4.888,2.5,0.0,0.0,0.25,0.015,0.195,0.21,1.425,0.0,8.25,2.0,0.5,2.5,-0.893,-0.029,-0.058,-0.038,-0.044,0.1,0.056,0.142,-0.201,-6.53,-1.249,-1.139,-2.388
