element,web_name,team,position,total_mins_season,starts_last4,pts_per90_season,pts_per90_4gw,pts_delta,xg_per90_season,xg_per90_4gw,xg_delta,xa_per90_season,xa_per90_4gw,xa_delta,xgi_per90_season,xgi_per90_4gw,xgi_delta,saves_per90_season,saves_per90_4gw,saves_delta,streak,pts_threshold_used,total_points_per90_season,goals_scored_per90_season,assists_per90_season,clean_sheets_per90_season,expected_goals_per90_season,expected_assists_per90_season,expected_goal_involvements_per90_season,expected_goals_conceded_per90_season,bonus_per90_season,bps_per90_season,clearances_blocks_interceptions_per90_season,tackles_per90_season,defensive_contribution_per90_season,total_points_per90_4gw,goals_scored_per90_4gw,assists_per90_4gw,clean_sheets_per90_4gw,expected_goals_per90_4gw,expected_assists_per90_4gw,expected_goal_involvements_per90_4gw,expected_goals_conceded_per90_4gw,bonus_per90_4gw,bps_per90_4gw,clearances_blocks_interceptions_per90_4gw,tackles_per90_4gw,defensive_contribution_per90_4gw,total_points_delta,goals_scored_delta,assists_delta,clean_sheets_delta,expected_goals_delta,expected_assists_delta,expected_goal_involvements_delta,expected_goals_conceded_delta,bonus_delta,bps_delta,clearances_blocks_interceptions_delta,tackles_delta,defensive_contribution_delta
151,Van Hecke,BHA,DEF,3210,4,4.15,2.75,-1.4,0.093,0.235,0.142,0.044,0.055,0.011,0.137,0.29,0.153,0.0,0.0,0.0,🧊 Cold,0.83,4.15,0.084,0.084,0.28,0.093,0.044,0.137,1.297,0.224,16.121,7.402,1.486,8.888,2.75,0.0,0.0,0.25,0.235,0.055,0.29,1.425,0.0,10.5,7.75,1.0,8.75,-1.4,-0.084,-0.084,-0.03,0.142,0.011,0.153,0.128,-0.224,-5.621,0.348,-0.486,-0.138
160,Minteh,BHA,MID,2389,3,4.408,4.286,-0.122,0.144,0.154,0.01,0.191,0.163,-0.028,0.334,0.317,-0.017,0.0,0.0,0.0,Neutral,0.882,4.408,0.113,0.301,0.414,0.144,0.191,0.334,1.284,0.339,17.555,1.243,2.11,6.969,4.286,0.286,0.0,0.571,0.154,0.163,0.317,1.269,0.286,17.429,1.143,1.714,4.571,-0.122,0.173,-0.301,0.157,0.01,-0.028,-0.017,-0.015,-0.053,-0.126,-0.1,-0.396,-2.398
163,Hinshelwood,BHA,MID,1736,4,4.718,5.488,0.77,0.256,0.329,0.073,0.121,0.113,-0.008,0.377,0.442,0.065,0.0,0.0,0.0,Neutral,0.944,4.718,0.207,0.259,0.363,0.256,0.121,0.377,1.443,0.104,16.434,1.815,0.933,5.91,5.488,0.549,0.0,0.549,0.329,0.113,0.442,1.213,0.0,20.305,1.098,0.549,3.567,0.77,0.342,-0.259,0.186,0.073,-0.008,0.065,-0.23,-0.104,3.871,-0.717,-0.384,-2.343
167,Baleba,BHA,MID,1646,3,3.062,3.722,0.66,0.043,0.074,0.031,0.039,0.037,-0.002,0.082,0.112,0.03,0.0,0.0,0.0,🔥 Hot,0.612,3.062,0.0,0.0,0.383,0.043,0.039,0.082,1.115,0.0,12.631,3.663,2.023,11.428,3.722,0.0,0.0,0.677,0.074,0.037,0.112,1.005,0.0,18.947,4.398,2.707,15.226,0.66,0.0,0.0,0.294,0.031,-0.002,0.03,-0.11,0.0,6.316,0.735,0.684,3.798
178,Welbeck,BHA,FWD,2249,4,5.042,3.249,-1.793,0.495,0.185,-0.31,0.056,0.026,-0.03,0.551,0.211,-0.34,0.0,0.0,0.0,🧊 Cold,1.008,5.042,0.52,0.04,0.4,0.495,0.056,0.551,1.268,0.72,20.449,1.561,0.96,4.482,3.249,0.0,0.325,0.65,0.185,0.026,0.211,1.371,0.0,12.347,1.3,1.3,4.874,-1.793,-0.52,0.285,0.25,-0.31,-0.03,-0.34,0.103,-0.72,-8.102,-0.261,0.34,0.392
187,Walker,BUR,DEF,3095,4,2.036,1.5,-0.536,0.004,0.008,0.004,0.038,0.058,0.02,0.042,0.065,0.023,0.0,0.0,0.0,🧊 Cold,0.407,2.036,0.0,0.058,0.116,0.004,0.038,0.042,1.964,0.087,7.037,4.536,1.628,6.165,1.5,0.0,0.0,0.0,0.008,0.058,0.065,1.615,0.0,7.25,3.0,2.25,5.25,-0.536,0.0,-0.058,-0.116,0.004,0.02,0.023,-0.349,-0.087,0.213,-1.536,0.622,-0.915
191,Estève,BUR,DEF,2933,3,2.608,2.759,0.151,0.022,0.0,-0.022,0.018,0.003,-0.015,0.041,0.003,-0.038,0.0,0.0,0.0,Neutral,0.522,2.608,0.0,0.0,0.092,0.022,0.018,0.041,2.058,0.0,8.101,8.899,1.35,10.249,2.759,0.0,0.0,0.0,0.0,0.003,0.003,1.5,0.0,7.241,10.0,1.724,11.724,0.151,0.0,0.0,-0.092,-0.022,-0.015,-0.038,-0.558,0.0,-0.86,1.101,0.374,1.475
195,Lucas Pires,BUR,DEF,1405,3,1.601,1.525,-0.076,0.038,0.082,0.044,0.094,0.079,-0.015,0.132,0.162,0.03,0.0,0.0,0.0,Neutral,0.32,1.601,0.0,0.0,0.064,0.038,0.094,0.132,1.806,0.0,8.135,4.1,1.858,5.957,1.525,0.0,0.0,0.0,0.082,0.079,0.162,1.583,0.0,9.153,3.966,1.525,5.492,-0.076,0.0,0.0,-0.064,0.044,-0.015,0.03,-0.223,0.0,1.018,-0.134,-0.333,-0.465
198,Tuanzebe,BUR,DEF,1201,3,2.548,2.333,-0.215,0.046,0.0,-0.046,0.009,0.003,-0.006,0.055,0.003,-0.052,0.0,0.0,0.0,Neutral,0.51,2.548,0.075,0.0,0.075,0.046,0.009,0.055,2.226,0.0,7.644,7.943,1.049,8.993,2.333,0.0,0.0,0.0,0.0,0.003,0.003,1.607,0.0,7.0,7.0,0.667,7.667,-0.215,-0.075,0.0,-0.075,-0.046,-0.006,-0.052,-0.619,0.0,-0.644,-0.943,-0.382,-1.326
200,Anthony,BUR,MID,2717,4,4.207,4.103,-0.104,0.169,0.187,0.018,0.094,0.049,-0.045,0.264,0.236,-0.028,0.0,0.0,0.0,Neutral,0.841,4.207,0.265,0.132,0.132,0.169,0.094,0.264,1.954,0.199,16.993,1.623,1.391,7.685,4.103,0.256,0.256,0.0,0.187,0.049,0.236,1.554,0.0,16.154,0.769,1.026,5.641,-0.104,-0.009,0.124,-0.132,0.018,-0.045,-0.028,-0.4,-0.199,-0.839,-0.854,-0.365,-2.044
207,Hannibal,BUR,MID,1219,3,4.356,2.647,-1.709,0.067,0.132,0.065,0.154,0.284,0.13,0.22,0.412,0.192,0.0,0.0,0.0,🧊 Cold,0.871,4.356,0.074,0.369,0.148,0.067,0.154,0.22,2.089,0.295,19.27,1.255,2.141,8.195,2.647,0.0,0.378,0.0,0.132,0.284,0.412,1.804,0.0,17.395,1.134,1.513,6.05,-1.709,-0.074,0.009,-0.148,0.065,0.13,0.192,-0.285,-0.295,-1.875,-0.121,-0.628,-2.145
210,Tchaouna,BUR,MID,1259,4,4.218,4.567,0.349,0.091,0.081,-0.01,0.065,0.059,-0.006,0.156,0.14,-0.016,0.0,0.0,0.0,Neutral,0.844,4.218,0.143,0.143,0.143,0.091,0.065,0.156,1.79,0.0,14.869,0.929,1.287,4.932,4.567,0.269,0.269,0.0,0.081,0.059,0.14,1.599,0.0,18.0,0.269,1.075,5.104,0.349,0.126,0.126,-0.143,-0.01,-0.006,-0.016,-0.191,0.0,3.131,-0.66,-0.212,0.172
215,Flemming,BUR,FWD,1764,4,5.051,4.665,-0.386,0.405,0.299,-0.106,0.021,0.025,0.004,0.426,0.324,-0.102,0.0,0.0,0.0,Neutral,1.01,5.051,0.561,0.0,0.153,0.405,0.021,0.426,1.891,0.561,18.929,2.5,0.867,5.051,4.665,0.549,0.0,0.0,0.299,0.025,0.324,1.616,0.823,17.835,1.921,1.646,4.665,-0.386,-0.012,0.0,-0.153,-0.106,0.004,-0.102,-0.275,0.262,-1.094,-0.579,0.779,-0.386
220,Sánchez,CHE,GKP,3040,3,3.345,1.829,-1.516,0.0,0.0,0.0,0.001,0.0,-0.001,0.001,0.0,-0.001,2.901,2.927,0.026,🧊 Cold,0.669,3.345,0.0,0.03,0.266,0.0,0.001,0.001,1.44,0.207,15.069,0.799,0.059,0.0,1.829,0.0,0.0,0.0,0.0,0.0,0.0,2.052,0.0,9.512,0.366,0.0,0.0,-1.516,0.0,-0.03,-0.266,0.0,-0.001,-0.001,0.612,-0.207,-5.557,-0.433,-0.059,0.0
224,Cucurella,CHE,DEF,2706,4,3.459,1.75,-1.709,0.078,0.02,-0.058,0.107,0.04,-0.067,0.185,0.06,-0.125,0.0,0.0,0.0,🧊 Cold,0.692,3.459,0.033,0.133,0.299,0.078,0.107,0.185,1.379,0.166,15.565,4.224,1.829,6.053,1.75,0.0,0.25,0.0,0.02,0.04,0.06,1.542,0.0,6.0,0.75,2.0,2.75,-1.709,-0.033,0.117,-0.299,-0.058,-0.067,-0.125,0.163,-0.166,-9.565,-3.474,0.171,-3.303
228,Gusto,CHE,DEF,2255,3,3.831,0.341,-3.49,0.062,0.034,-0.028,0.119,0.232,0.113,0.181,0.266,0.085,0.0,0.0,0.0,🧊 Cold,0.766,3.831,0.08,0.12,0.279,0.062,0.119,0.181,1.482,0.279,16.204,2.953,2.075,5.029,0.341,0.0,0.0,0.0,0.034,0.232,0.266,1.493,0.0,4.432,3.409,1.364,4.773,-3.49,-0.08,-0.12,-0.279,-0.028,0.113,0.085,0.011,-0.279,-11.772,0.456,-0.711,-0.256
230,Fofana,CHE,DEF,1718,3,3.405,1.948,-1.457,0.038,0.0,-0.038,0.031,0.0,-0.031,0.069,0.0,-0.069,0.0,0.0,0.0,🧊 Cold,0.681,3.405,0.0,0.105,0.21,0.038,0.031,0.069,1.352,0.157,15.087,9.796,0.995,10.792,1.948,0.0,0.39,0.0,0.0,0.0,0.0,1.414,0.0,8.182,7.403,0.0,7.403,-1.457,0.0,0.285,-0.21,-0.038,-0.031,-0.069,0.062,-0.157,-6.905,-2.393,-0.995,-3.389
235,Palmer,CHE,MID,1954,4,5.251,3.017,-2.234,0.486,0.337,-0.149,0.115,0.088,-0.027,0.601,0.425,-0.176,0.0,0.0,0.0,🧊 Cold,1.05,5.251,0.461,0.092,0.138,0.486,0.115,0.601,1.434,0.507,19.806,1.244,1.151,6.218,3.017,0.251,0.0,0.0,0.337,0.088,0.425,1.539,0.503,12.57,0.503,1.006,4.022,-2.234,-0.21,-0.092,-0.138,-0.149,-0.027,-0.176,0.105,-0.004,-7.236,-0.741,-0.145,-2.196
237,Enzo,CHE,MID,3114,4,4.538,6.0,1.462,0.325,0.125,-0.2,0.21,0.215,0.005,0.535,0.34,-0.195,0.0,0.0,0.0,🔥 Hot,0.908,4.538,0.289,0.145,0.231,0.325,0.21,0.535,1.297,0.549,20.231,1.474,1.532,7.052,6.0,0.5,0.25,0.0,0.125,0.215,0.34,1.542,1.25,23.0,0.75,0.75,5.75,1.462,0.211,0.105,-0.231,-0.2,0.005,-0.195,0.245,0.701,2.769,-0.724,-0.782,-1.302
241,Caicedo,CHE,MID,2796,4,3.541,2.034,-1.507,0.047,0.01,-0.037,0.077,0.076,-0.001,0.123,0.086,-0.037,0.0,0.0,0.0,🧊 Cold,0.708,3.541,0.097,0.032,0.193,0.047,0.077,0.123,1.369,0.322,18.67,3.283,2.8,11.781,2.034,0.0,0.0,0.0,0.01,0.076,0.086,1.551,0.0,15.0,2.288,1.78,8.898,-1.507,-0.097,-0.032,-0.193,-0.037,-0.001,-0.037,0.182,-0.322,-3.67,-0.995,-1.02,-2.883
242,Dewsbury-Hall,EVE,MID,2629,4,5.169,2.805,-2.364,0.149,0.138,-0.011,0.183,0.145,-0.038,0.332,0.283,-0.049,0.0,0.0,0.0,🧊 Cold,1.034,5.169,0.274,0.24,0.274,0.149,0.183,0.332,1.382,0.616,20.472,1.506,1.78,7.874,2.805,0.0,0.255,0.0,0.138,0.145,0.283,1.476,0.0,12.493,1.53,1.53,6.884,-2.364,-0.274,0.015,-0.274,-0.011,-0.038,-0.049,0.094,-0.616,-7.979,0.024,-0.25,-0.99
249,João Pedro,CHE,FWD,2658,3,5.993,3.667,-2.326,0.505,0.407,-0.098,0.066,0.023,-0.043,0.571,0.43,-0.141,0.0,0.0,0.0,🧊 Cold,1.199,5.993,0.508,0.305,0.339,0.505,0.066,0.571,1.261,1.016,24.21,1.321,0.914,4.673,3.667,0.333,0.0,0.0,0.407,0.023,0.43,1.483,0.667,13.0,1.0,0.667,3.667,-2.326,-0.175,-0.305,-0.339,-0.098,-0.043,-0.141,0.222,-0.349,-11.21,-0.321,-0.247,-1.006
253,Henderson,CRY,GKP,3330,4,3.541,1.25,-2.291,0.0,0.0,0.0,0.003,0.0,-0.003,0.003,0.0,-0.003,2.865,3.0,0.135,🧊 Cold,0.708,3.541,0.0,0.0,0.297,0.0,0.003,0.003,1.389,0.189,14.541,1.486,0.027,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.848,0.0,6.25,1.0,0.25,0.0,-2.291,0.0,0.0,-0.297,0.0,-0.003,-0.003,0.459,-0.189,-8.291,-0.486,0.223,0.0
256,Muñoz,CRY,DEF,2400,4,5.1,2.941,-2.159,0.092,0.032,-0.06,0.148,0.159,0.011,0.24,0.191,-0.049,0.0,0.0,0.0,🧊 Cold,1.02,5.1,0.15,0.15,0.375,0.092,0.148,0.24,1.286,0.337,17.588,4.65,2.7,7.35,2.941,0.0,0.294,0.0,0.032,0.159,0.191,1.597,0.294,11.765,3.529,2.941,6.471,-2.159,-0.15,0.144,-0.375,-0.06,0.011,-0.049,0.311,-0.043,-5.823,-1.121,0.241,-0.879
257,Lacroix,CRY,DEF,3085,3,4.493,2.25,-2.243,0.071,0.034,-0.037,0.024,0.022,-0.002,0.096,0.056,-0.04,0.0,0.0,0.0,🧊 Cold,0.899,4.493,0.029,0.058,0.321,0.071,0.024,0.096,1.285,0.321,15.433,9.044,1.75,10.794,2.25,0.0,0.0,0.0,0.034,0.022,0.056,1.399,0.0,9.375,9.0,1.875,10.875,-2.243,-0.029,-0.058,-0.321,-0.037,-0.002,-0.04,0.114,-0.321,-6.058,-0.044,0.125,0.081
258,Mitchell,CRY,DEF,3253,3,3.735,2.286,-1.449,0.044,0.134,0.09,0.07,0.054,-0.016,0.114,0.189,0.075,0.0,0.0,0.0,🧊 Cold,0.747,3.735,0.028,0.083,0.332,0.044,0.07,0.114,1.377,0.221,13.778,4.012,2.767,6.778,2.286,0.0,0.286,0.0,0.134,0.054,0.189,1.777,0.0,9.143,4.571,3.714,8.286,-1.449,-0.028,0.203,-0.332,0.09,-0.016,0.075,0.4,-0.221,-4.635,0.559,0.947,1.508
260,Guéhi,MCI,DEF,3150,3,5.114,5.667,0.553,0.116,0.05,-0.066,0.068,0.03,-0.038,0.183,0.08,-0.103,0.0,0.0,0.0,Neutral,1.023,5.114,0.086,0.143,0.4,0.116,0.068,0.183,1.274,0.4,19.657,6.629,1.314,7.943,5.667,0.0,0.0,0.667,0.05,0.03,0.08,0.97,0.333,22.667,5.333,1.333,6.667,0.553,-0.086,-0.143,0.267,-0.066,-0.038,-0.103,-0.304,-0.067,3.01,-1.296,0.019,-1.276
266,Eze,ARS,MID,1885,3,5.395,3.913,-1.482,0.247,0.411,0.164,0.127,0.059,-0.068,0.374,0.47,0.096,0.0,0.0,0.0,🧊 Cold,1.079,5.395,0.334,0.143,0.525,0.247,0.127,0.374,0.678,0.382,20.96,1.05,0.907,5.729,3.913,0.0,0.0,1.174,0.411,0.059,0.47,0.665,0.0,17.217,0.391,0.391,4.696,-1.482,-0.334,-0.143,0.649,0.164,-0.068,0.096,-0.013,-0.382,-3.743,-0.659,-0.516,-1.033
267,Sarr,CRY,MID,2173,3,4.846,5.647,0.801,0.453,0.646,0.193,0.048,0.046,-0.002,0.501,0.692,0.191,0.0,0.0,0.0,Neutral,0.969,4.846,0.373,0.083,0.373,0.453,0.048,0.501,1.294,0.373,14.869,1.657,0.746,5.674,5.647,0.706,0.0,0.0,0.646,0.046,0.692,1.645,0.0,18.353,1.412,0.0,5.294,0.801,0.333,-0.083,-0.373,0.193,-0.002,0.191,0.351,-0.373,3.484,-0.245,-0.746,-0.38
271,Kamada,CRY,MID,1899,3,3.175,2.625,-0.55,0.078,0.082,0.004,0.154,0.326,0.172,0.231,0.409,0.178,0.0,0.0,0.0,Neutral,0.635,3.175,0.0,0.095,0.284,0.078,0.154,0.231,1.234,0.0,15.687,1.801,2.938,9.858,2.625,0.0,0.0,0.0,0.082,0.326,0.409,1.901,0.0,15.375,1.875,3.375,10.125,-0.55,0.0,-0.095,-0.284,0.004,0.172,0.178,0.667,0.0,-0.312,0.074,0.437,0.267
287,Pickford,EVE,GKP,3420,4,3.553,1.75,-1.803,0.0,0.0,0.0,0.005,0.01,0.005,0.005,0.01,0.005,2.632,2.0,-0.632,🧊 Cold,0.711,3.553,0.0,0.0,0.289,0.0,0.005,0.005,1.48,0.289,14.342,1.368,0.053,0.0,1.75,0.0,0.0,0.0,0.0,0.01,0.01,1.48,0.0,7.5,2.5,0.0,0.0,-1.803,0.0,0.0,-0.289,0.0,0.005,0.005,0.0,-0.289,-6.842,1.132,-0.053,0.0
291,Tarkowski,EVE,DEF,3330,4,4.595,5.25,0.655,0.068,0.08,0.012,0.057,0.143,0.086,0.125,0.222,0.097,0.0,0.0,0.0,Neutral,0.919,4.595,0.054,0.081,0.297,0.068,0.057,0.125,1.447,0.324,16.0,8.784,1.378,10.162,5.25,0.25,0.25,0.0,0.08,0.143,0.222,1.48,0.75,9.5,7.75,2.25,10.0,0.655,0.196,0.169,-0.297,0.012,0.086,0.097,0.033,0.426,-6.5,-1.034,0.872,-0.162
292,Mykolenko,EVE,DEF,2959,4,2.889,1.0,-1.889,0.009,0.0,-0.009,0.075,0.03,-0.045,0.083,0.03,-0.053,0.0,0.0,0.0,🧊 Cold,0.578,2.889,0.0,0.03,0.274,0.009,0.075,0.083,1.472,0.061,10.645,5.566,1.46,7.026,1.0,0.0,0.0,0.0,0.0,0.03,0.03,1.48,0.0,2.0,4.25,1.25,5.5,-1.889,0.0,-0.03,-0.274,-0.009,-0.045,-0.053,0.008,-0.061,-8.645,-1.316,-0.21,-1.526
293,O'Brien,EVE,DEF,3118,4,3.348,2.195,-1.153,0.048,0.2,0.152,0.029,0.011,-0.018,0.077,0.211,0.134,0.0,0.0,0.0,🧊 Cold,0.67,3.348,0.029,0.087,0.289,0.048,0.029,0.077,1.544,0.058,10.622,5.022,1.645,6.668,2.195,0.274,0.0,0.0,0.2,0.011,0.211,1.57,0.0,-0.549,3.018,1.372,4.39,-1.153,0.245,-0.087,-0.289,0.152,-0.018,0.134,0.026,-0.058,-11.171,-2.004,-0.273,-2.278
295,Keane,EVE,DEF,2588,4,4.556,2.75,-1.806,0.08,0.082,0.002,0.017,0.07,0.053,0.097,0.153,0.056,0.0,0.0,0.0,🧊 Cold,0.911,4.556,0.104,0.035,0.243,0.08,0.017,0.097,1.548,0.278,14.049,9.216,1.287,10.502,2.75,0.0,0.25,0.0,0.082,0.07,0.153,1.48,0.0,5.0,7.5,1.5,9.0,-1.806,-0.104,0.215,-0.243,0.002,0.053,0.056,-0.068,-0.278,-9.049,-1.716,0.213,-1.502
299,Ndiaye,EVE,MID,2781,4,4.142,2.0,-2.142,0.216,0.34,0.124,0.143,0.032,-0.111,0.359,0.373,0.014,0.0,0.0,0.0,🧊 Cold,0.828,4.142,0.194,0.097,0.259,0.216,0.143,0.359,1.381,0.227,17.476,1.23,2.168,9.159,2.0,0.0,0.0,0.0,0.34,0.032,0.373,1.48,0.0,8.0,1.0,1.25,5.75,-2.142,-0.194,-0.097,-0.259,0.124,-0.111,0.014,0.099,-0.227,-9.476,-0.23,-0.918,-3.409
303,Garner,EVE,MID,3413,4,4.193,2.75,-1.443,0.055,0.028,-0.027,0.163,0.255,0.092,0.218,0.283,0.065,0.0,0.0,0.0,🧊 Cold,0.839,4.193,0.053,0.185,0.29,0.055,0.163,0.218,1.481,0.343,21.57,4.061,3.138,12.077,2.75,0.0,0.25,0.0,0.028,0.255,0.283,1.48,0.0,21.5,2.25,2.75,9.0,-1.443,-0.053,0.065,-0.29,-0.027,0.092,0.065,-0.001,-0.343,-0.07,-1.811,-0.388,-3.077
304,Iroegbunam,EVE,MID,1477,4,4.144,2.418,-1.726,0.033,0.011,-0.022,0.043,0.021,-0.022,0.076,0.032,-0.044,0.0,0.0,0.0,🧊 Cold,0.829,4.144,0.0,0.183,0.487,0.033,0.043,0.076,1.501,0.061,13.71,2.62,4.144,11.517,2.418,0.0,0.0,0.0,0.011,0.021,0.032,1.483,0.0,7.522,2.955,4.03,10.478,-1.726,0.0,-0.183,-0.487,-0.022,-0.022,-0.044,-0.018,-0.061,-6.188,0.335,-0.114,-1.039
311,Beto,EVE,FWD,1551,3,6.035,5.143,-0.892,0.516,0.3,-0.216,0.013,0.004,-0.009,0.53,0.304,-0.226,0.0,0.0,0.0,Neutral,1.207,6.035,0.522,0.058,0.29,0.516,0.013,0.53,1.402,0.87,19.903,2.843,0.812,5.164,5.143,0.429,0.0,0.0,0.3,0.004,0.304,1.251,0.857,17.143,3.857,0.0,4.286,-0.892,-0.093,-0.058,-0.29,-0.216,-0.009,-0.226,-0.151,-0.013,-2.76,1.014,-0.812,-0.878
314,Leno,FUL,GKP,3420,4,3.211,3.5,0.289,0.0,0.0,0.0,0.001,0.005,0.004,0.001,0.005,0.004,2.579,3.25,0.671,Neutral,0.642,3.211,0.0,0.0,0.237,0.0,0.001,0.001,1.388,0.211,14.632,1.211,0.105,0.0,3.5,0.0,0.0,0.25,0.0,0.005,0.005,1.44,0.0,18.25,0.5,0.0,0.0,0.289,0.0,0.0,0.013,0.0,0.004,0.004,0.052,-0.211,3.618,-0.711,-0.105,0.0
316,Robinson,FUL,DEF,1487,4,3.934,5.0,1.066,0.065,0.213,0.148,0.096,0.06,-0.036,0.16,0.272,0.112,0.0,0.0,0.0,🔥 Hot,0.787,3.934,0.061,0.0,0.242,0.065,0.096,0.16,1.46,0.424,16.947,5.326,2.905,8.231,5.0,0.25,0.0,0.25,0.213,0.06,0.272,1.44,0.75,20.5,4.75,3.0,7.75,1.066,0.189,0.0,0.008,0.148,-0.036,0.112,-0.02,0.326,3.553,-0.576,0.095,-0.481
318,Bassey,FUL,DEF,2532,4,3.661,2.75,-0.911,0.061,0.0,-0.061,0.012,0.018,0.006,0.073,0.018,-0.055,0.0,0.0,0.0,🧊 Cold,0.732,3.661,0.036,0.036,0.249,0.061,0.012,0.073,1.351,0.32,13.934,5.083,2.204,7.287,2.75,0.0,0.0,0.25,0.0,0.018,0.018,1.44,0.0,17.75,3.25,2.5,5.75,-0.911,-0.036,-0.036,0.001,-0.061,0.006,-0.055,0.089,-0.32,3.816,-1.833,0.296,-1.537
319,Castagne,FUL,DEF,1838,4,2.987,4.091,1.104,0.073,0.074,0.001,0.072,0.136,0.064,0.145,0.21,0.065,0.0,0.0,0.0,🔥 Hot,0.597,2.987,0.0,0.098,0.147,0.073,0.072,0.145,1.599,0.147,14.396,5.19,1.959,7.149,4.091,0.0,0.256,0.256,0.074,0.136,0.21,1.462,0.511,20.71,3.068,2.812,5.881,1.104,0.0,0.158,0.109,0.001,0.064,0.065,-0.137,0.364,6.314,-2.122,0.853,-1.268
325,Smith Rowe,FUL,MID,1909,4,3.772,2.657,-1.115,0.222,0.083,-0.139,0.053,0.013,-0.04,0.275,0.096,-0.179,0.0,0.0,0.0,🧊 Cold,0.754,3.772,0.141,0.047,0.283,0.222,0.053,0.275,1.474,0.047,16.548,1.98,1.65,6.977,2.657,0.0,0.0,0.332,0.083,0.013,0.096,1.451,0.0,15.609,0.996,2.325,7.306,-1.115,-0.141,-0.047,0.049,-0.139,-0.04,-0.179,-0.023,-0.047,-0.939,-0.984,0.675,0.329
332,Lukić,FUL,MID,1730,3,3.486,2.333,-1.153,0.116,0.013,-0.103,0.099,0.073,-0.026,0.215,0.087,-0.128,0.0,0.0,0.0,🧊 Cold,0.697,3.486,0.052,0.208,0.312,0.116,0.099,0.215,1.438,0.208,16.335,3.277,2.549,9.52,2.333,0.0,0.0,0.0,0.013,0.073,0.087,1.817,0.333,15.0,4.0,2.333,10.0,-1.153,-0.052,-0.208,-0.312,-0.103,-0.026,-0.128,0.379,0.125,-1.335,0.723,-0.216,0.48
