element,web_name,team,position,total_mins_season,starts_last4,pts_per90_season,pts_per90_4gw,pts_delta,xg_per90_season,xg_per90_4gw,xg_delta,xa_per90_season,xa_per90_4gw,xa_delta,xgi_per90_season,xgi_per90_4gw,xgi_delta,saves_per90_season,saves_per90_4gw,saves_delta,streak,pts_threshold_used,total_points_per90_season,goals_scored_per90_season,assists_per90_season,clean_sheets_per90_season,expected_goals_per90_season,expected_assists_per90_season,expected_goal_involvements_per90_season,expected_goals_conceded_per90_season,bonus_per90_season,bps_per90_season,clearances_blocks_interceptions_per90_season,tackles_per90_season,defensive_contribution_per90_season,total_points_per90_4gw,goals_scored_per90_4gw,assists_per90_4gw,clean_sheets_per90_4gw,expected_goals_per90_4gw,expected_assists_per90_4gw,expected_goal_involvements_per90_4gw,expected_goals_conceded_per90_4gw,bonus_per90_4gw,bps_per90_4gw,clearances_blocks_interceptions_per90_4gw,tackles_per90_4gw,defensive_contribution_per90_4gw,total_points_delta,goals_scored_delta,assists_delta,clean_sheets_delta,expected_goals_delta,expected_assists_delta,expected_goal_involvements_delta,expected_goals_conceded_delta,bonus_delta,bps_delta,clearances_blocks_interceptions_delta,tackles_delta,defensive_contribution_delta
574,Udogie,TOT,DEF,1335,4,1.955,2.991,1.036,0.012,0.005,-0.007,0.049,0.014,-0.035,0.061,0.019,-0.042,0.0,0.0,0.0,🔥 Hot,0.391,1.955,0.0,0.067,0.067,0.012,0.049,0.061,1.291,0.067,8.157,2.494,2.09,4.584,2.991,0.0,0.0,0.272,0.005,0.014,0.019,0.56,0.272,11.964,2.719,2.175,4.894,1.036,0.0,-0.067,0.205,-0.007,-0.035,-0.042,-0.731,0.205,3.807,0.225,0.085,0.31
575,Van de Ven,TOT,DEF,3041,4,3.433,2.5,-0.933,0.083,0.008,-0.075,0.011,0.005,-0.006,0.095,0.012,-0.083,0.0,0.0,0.0,🧊 Cold,0.687,3.433,0.118,0.03,0.266,0.083,0.011,0.095,1.272,0.296,12.756,5.15,1.125,6.274,2.5,0.0,0.0,0.25,0.008,0.005,0.012,0.675,0.0,12.75,3.25,0.75,4.0,-0.933,-0.118,-0.03,-0.016,-0.075,-0.006,-0.083,-0.597,-0.296,-0.006,-1.9,-0.375,-2.274
584,Tel,TOT,MID,1334,4,5.262,5.089,-0.173,0.167,0.088,-0.079,0.164,0.268,0.104,0.33,0.356,0.026,0.0,0.0,0.0,Neutral,1.052,5.262,0.27,0.135,0.202,0.167,0.164,0.33,1.166,0.472,17.946,1.282,1.349,7.489,5.089,0.268,0.268,0.536,0.088,0.268,0.356,0.576,0.536,16.875,1.875,0.268,6.161,-0.173,-0.002,0.133,0.334,-0.079,0.104,0.026,-0.59,0.064,-1.071,0.593,-1.081,-1.328
585,Bentancur,TOT,MID,1880,4,4.117,3.975,-0.142,0.034,0.06,0.026,0.04,0.017,-0.023,0.075,0.077,0.002,0.0,0.0,0.0,Neutral,0.823,4.117,0.048,0.048,0.383,0.034,0.04,0.075,1.132,0.191,17.521,4.356,2.681,13.309,3.975,0.0,0.0,0.568,0.06,0.017,0.077,0.537,0.284,18.454,3.407,3.407,12.492,-0.142,-0.048,-0.048,0.185,0.026,-0.023,0.002,-0.595,0.093,0.933,-0.949,0.726,-0.817
597,Richarlison,TOT,FWD,1954,4,5.481,5.263,-0.218,0.398,0.539,0.141,0.067,0.05,-0.017,0.465,0.589,0.124,0.0,0.0,0.0,Neutral,1.096,5.481,0.507,0.184,0.322,0.398,0.067,0.465,1.181,0.783,23.26,2.764,1.244,6.771,5.263,0.526,0.0,0.526,0.539,0.05,0.589,0.629,1.053,19.211,2.105,1.053,5.789,-0.218,0.019,-0.184,0.204,0.141,-0.017,0.124,-0.552,0.27,-4.049,-0.659,-0.191,-0.982
603,Diouf,WHU,DEF,2706,4,3.459,2.362,-1.097,0.019,0.018,-0.001,0.083,0.066,-0.017,0.102,0.084,-0.018,0.0,0.0,0.0,🧊 Cold,0.692,3.459,0.0,0.2,0.299,0.019,0.083,0.102,1.452,0.1,12.672,5.355,1.463,6.818,2.362,0.0,0.0,0.262,0.018,0.066,0.084,1.74,0.0,12.595,3.673,1.574,5.248,-1.097,0.0,-0.2,-0.037,-0.001,-0.017,-0.018,0.288,-0.1,-0.077,-1.682,0.111,-1.57
606,Mavropanos,WHU,DEF,2532,4,4.336,3.5,-0.836,0.088,0.012,-0.076,0.025,0.028,0.003,0.113,0.04,-0.073,0.0,0.0,0.0,Neutral,0.867,4.336,0.107,0.0,0.213,0.088,0.025,0.113,1.458,0.178,13.72,9.704,1.422,11.126,3.5,0.0,0.0,0.25,0.012,0.028,0.04,1.692,0.0,13.25,10.25,1.25,11.5,-0.836,-0.107,0.0,0.037,-0.076,0.003,-0.073,0.234,-0.178,-0.47,0.546,-0.172,0.374
613,Souček,WHU,MID,2190,4,4.233,2.169,-2.064,0.235,0.268,0.033,0.021,0.024,0.003,0.257,0.293,0.036,0.0,0.0,0.0,🧊 Cold,0.847,4.233,0.205,0.082,0.288,0.235,0.021,0.257,1.581,0.37,17.589,4.726,1.767,9.205,2.169,0.0,0.0,0.271,0.268,0.024,0.293,1.64,0.0,12.199,2.982,2.44,7.861,-2.064,-0.205,-0.082,-0.017,0.033,0.003,0.036,0.059,-0.37,-5.39,-1.744,0.673,-1.344
615,Summerville,WHU,MID,2470,4,4.008,2.521,-1.487,0.198,0.076,-0.122,0.122,0.151,0.029,0.32,0.227,-0.093,0.0,0.0,0.0,🧊 Cold,0.802,4.008,0.182,0.146,0.291,0.198,0.122,0.32,1.369,0.364,15.012,1.822,1.64,7.834,2.521,0.0,0.252,0.252,0.076,0.151,0.227,1.682,0.0,14.37,0.756,2.773,7.563,-1.487,-0.182,0.106,-0.039,-0.122,0.029,-0.093,0.313,-0.364,-0.642,-1.066,1.133,-0.271
624,Bowen,WHU,FWD,3406,4,4.941,4.538,-0.403,0.191,0.141,-0.05,0.138,0.121,-0.017,0.328,0.262,-0.066,0.0,0.0,0.0,Neutral,0.988,4.941,0.238,0.344,0.211,0.191,0.138,0.328,1.537,0.74,19.316,1.929,1.295,7.425,4.538,0.252,0.252,0.252,0.141,0.121,0.262,1.682,0.756,19.916,0.756,1.008,5.546,-0.403,0.014,-0.092,0.041,-0.05,-0.017,-0.066,0.145,0.016,0.6,-1.173,-0.287,-1.879
634,Mosquera,WOL,DEF,2137,4,2.569,2.5,-0.069,0.106,0.215,0.109,0.026,0.022,-0.004,0.132,0.238,0.106,0.0,0.0,0.0,Neutral,0.514,2.569,0.0,0.0,0.168,0.106,0.026,0.132,1.534,0.126,8.802,6.696,2.527,9.223,2.5,0.0,0.0,0.0,0.215,0.022,0.238,1.212,0.0,3.25,8.25,2.5,10.75,-0.069,0.0,0.0,-0.168,0.109,-0.004,0.106,-0.322,-0.126,-5.552,1.554,-0.027,1.527
636,S.Bueno,WOL,DEF,2552,4,3.245,3.75,0.505,0.08,0.128,0.048,0.051,0.098,0.047,0.132,0.225,0.093,0.0,0.0,0.0,Neutral,0.649,3.245,0.106,0.071,0.141,0.08,0.051,0.132,1.542,0.141,10.933,5.819,1.799,7.618,3.75,0.25,0.0,0.0,0.128,0.098,0.225,1.212,0.5,7.25,7.0,0.25,7.25,0.505,0.144,-0.071,-0.141,0.048,0.047,0.093,-0.33,0.359,-3.683,1.181,-1.549,-0.368
642,Hee Chan,WOL,MID,1439,3,3.377,2.461,-0.916,0.148,0.081,-0.067,0.098,0.225,0.127,0.246,0.306,0.06,0.0,0.0,0.0,🧊 Cold,0.675,3.377,0.125,0.125,0.125,0.148,0.098,0.246,1.462,0.0,10.32,1.814,0.625,6.004,2.461,0.0,0.352,0.0,0.081,0.225,0.306,1.431,0.0,11.25,2.109,0.352,8.438,-0.916,-0.125,0.227,-0.125,-0.067,0.127,0.06,-0.031,0.0,0.93,0.295,-0.273,2.434
643,André,WOL,MID,2760,4,3.13,2.5,-0.63,0.017,0.018,0.001,0.032,0.035,0.003,0.049,0.052,0.003,0.0,0.0,0.0,🧊 Cold,0.626,3.13,0.033,0.0,0.065,0.017,0.032,0.049,1.542,0.13,15.424,2.935,2.641,12.489,2.5,0.0,0.0,0.0,0.018,0.035,0.052,1.212,0.0,11.5,2.5,1.75,11.75,-0.63,-0.033,0.0,-0.065,0.001,0.003,0.003,-0.33,-0.13,-3.924,-0.435,-0.891,-0.739
646,J.Gomes,WOL,MID,2829,3,3.404,2.687,-0.717,0.041,0.01,-0.031,0.066,0.064,-0.002,0.108,0.074,-0.034,0.0,0.0,0.0,🧊 Cold,0.681,3.404,0.032,0.064,0.127,0.041,0.066,0.108,1.546,0.191,16.829,2.768,3.404,12.312,2.687,0.0,0.0,0.0,0.01,0.064,0.074,1.3,0.0,12.761,3.358,3.694,11.418,-0.717,-0.032,-0.064,-0.127,-0.031,-0.002,-0.034,-0.246,-0.191,-4.068,0.59,0.29,-0.894
654,Strand Larsen,CRY,FWD,2301,3,2.934,2.739,-0.195,0.207,0.188,-0.019,0.044,0.113,0.069,0.251,0.301,0.05,0.0,0.0,0.0,Neutral,0.587,2.934,0.156,0.039,0.196,0.207,0.044,0.251,1.409,0.117,8.409,1.917,0.352,3.716,2.739,0.0,0.0,0.0,0.188,0.113,0.301,1.542,0.0,6.261,1.565,0.0,2.348,-0.195,-0.156,-0.039,-0.196,-0.019,0.069,0.05,0.133,-0.117,-2.148,-0.352,-0.352,-1.368
660,Stach,LEE,MID,2369,3,5.205,5.769,0.564,0.109,0.146,0.037,0.17,0.069,-0.101,0.279,0.215,-0.064,0.0,0.0,0.0,Neutral,1.041,5.205,0.19,0.228,0.266,0.109,0.17,0.279,1.294,0.532,20.895,3.077,2.469,10.106,5.769,0.385,0.0,0.385,0.146,0.069,0.215,1.469,1.154,20.0,1.923,3.077,8.077,0.564,0.195,-0.228,0.119,0.037,-0.101,-0.064,0.175,0.622,-0.895,-1.154,0.608,-2.029
668,Xhaka,SUN,MID,2901,4,3.847,4.25,0.403,0.031,0.028,-0.003,0.116,0.205,0.089,0.147,0.232,0.085,0.0,0.0,0.0,Neutral,0.769,3.847,0.031,0.186,0.279,0.031,0.116,0.147,1.417,0.248,18.707,4.157,1.551,11.231,4.25,0.0,0.25,0.25,0.028,0.205,0.232,1.068,0.75,19.0,2.75,1.25,12.0,0.403,-0.031,0.064,-0.029,-0.003,0.089,0.085,-0.349,0.502,0.293,-1.407,-0.301,0.769
670,Roefs,SUN,GKP,3150,4,3.886,3.5,-0.386,0.0,0.0,0.0,0.003,0.0,-0.003,0.003,0.0,-0.003,3.114,3.0,-0.114,Neutral,0.777,3.886,0.0,0.0,0.286,0.0,0.003,0.003,1.43,0.343,16.371,1.057,0.0,0.0,3.5,0.0,0.0,0.25,0.0,0.0,0.0,1.068,0.0,16.75,1.0,0.0,0.0,-0.386,0.0,0.0,-0.036,0.0,-0.003,-0.003,-0.362,-0.343,0.379,-0.057,0.0,0.0
672,Hato,CHE,DEF,1139,3,1.501,1.558,0.057,0.024,0.0,-0.024,0.048,0.035,-0.013,0.072,0.035,-0.037,0.0,0.0,0.0,Neutral,0.3,1.501,0.0,0.0,0.0,0.024,0.048,0.072,1.462,0.0,7.349,4.978,2.845,7.823,1.558,0.0,0.0,0.0,0.0,0.035,0.035,1.426,0.0,8.961,5.455,2.338,7.792,0.057,0.0,0.0,0.0,-0.024,-0.013,-0.037,-0.036,0.0,1.612,0.477,-0.507,-0.031
673,J.Palhinha,TOT,MID,2192,4,5.173,5.592,0.419,0.112,0.186,0.074,0.027,0.013,-0.014,0.138,0.2,0.062,0.0,0.0,0.0,Neutral,1.035,5.173,0.205,0.123,0.205,0.112,0.027,0.138,1.339,0.698,21.268,4.106,4.516,12.4,5.592,0.266,0.0,0.266,0.186,0.013,0.2,0.679,0.799,22.101,4.793,3.195,13.58,0.419,0.061,-0.123,0.061,0.074,-0.014,0.062,-0.66,0.101,0.833,0.687,-1.321,1.18
676,Ugochukwu,BUR,MID,2330,3,3.747,3.649,-0.098,0.097,0.081,-0.016,0.016,0.049,0.033,0.112,0.13,0.018,0.0,0.0,0.0,Neutral,0.749,3.747,0.116,0.116,0.116,0.097,0.016,0.112,2.04,0.193,14.446,2.433,1.97,8.266,3.649,0.0,0.405,0.0,0.081,0.049,0.13,1.707,0.0,19.865,2.838,1.622,8.919,-0.098,-0.116,0.289,-0.116,-0.016,0.033,0.018,-0.333,-0.193,5.419,0.405,-0.348,0.653
679,Hermansen,WHU,GKP,1620,4,4.222,4.0,-0.222,0.0,0.0,0.0,0.001,0.0,-0.001,0.001,0.0,-0.001,3.056,3.0,-0.056,Neutral,0.844,4.222,0.0,0.056,0.389,0.0,0.001,0.001,1.332,0.444,15.667,1.111,0.0,0.0,4.0,0.0,0.25,0.25,0.0,0.0,0.0,1.692,0.0,14.5,0.75,0.0,0.0,-0.222,0.0,0.194,-0.139,0.0,-0.001,-0.001,0.36,-0.444,-1.167,-0.361,0.0,0.0
683,Alderete,SUN,DEF,2797,3,4.022,5.792,1.77,0.052,0.009,-0.043,0.029,0.009,-0.02,0.081,0.018,-0.063,0.0,0.0,0.0,🔥 Hot,0.804,4.022,0.032,0.032,0.322,0.052,0.029,0.081,1.433,0.161,12.871,9.01,1.03,10.039,5.792,0.0,0.0,0.446,0.009,0.009,0.018,1.056,0.0,15.149,8.911,1.337,10.248,1.77,-0.032,-0.032,0.124,-0.043,-0.02,-0.063,-0.377,-0.161,2.278,-0.099,0.307,0.209
684,Thiaw,NEW,DEF,2963,4,3.827,1.75,-2.077,0.146,0.205,0.059,0.029,0.008,-0.021,0.175,0.212,0.037,0.0,0.0,0.0,🧊 Cold,0.765,3.827,0.121,0.0,0.152,0.146,0.029,0.175,1.495,0.364,13.243,7.533,1.336,8.869,1.75,0.0,0.0,0.0,0.205,0.008,0.212,1.348,0.0,10.75,5.5,1.75,7.25,-2.077,-0.121,0.0,-0.152,0.059,-0.021,0.037,-0.147,-0.364,-2.493,-2.033,0.414,-1.619
686,Ngumoha,LIV,MID,547,3,7.075,4.074,-3.001,0.22,0.111,-0.109,0.331,0.096,-0.235,0.551,0.207,-0.344,0.0,0.0,0.0,🧊 Cold,1.415,7.075,0.329,0.165,0.329,0.22,0.331,0.551,1.468,0.658,30.932,1.152,0.658,4.936,4.074,0.0,0.37,0.0,0.111,0.096,0.207,1.289,0.37,14.815,1.111,0.741,4.444,-3.001,-0.329,0.205,-0.329,-0.109,-0.235,-0.344,-0.179,-0.288,-16.117,-0.041,0.083,-0.492
691,Calvert-Lewin,LEE,FWD,2721,4,4.697,5.858,1.161,0.515,0.485,-0.03,0.035,0.013,-0.022,0.55,0.498,-0.052,0.0,0.0,0.0,🔥 Hot,0.939,4.697,0.463,0.066,0.265,0.515,0.035,0.55,1.182,0.662,15.612,1.621,0.331,3.473,5.858,0.799,0.0,0.266,0.485,0.013,0.498,1.771,1.065,21.834,1.331,0.0,3.195,1.161,0.336,-0.066,0.001,-0.03,-0.022,-0.052,0.589,0.403,6.222,-0.29,-0.331,-0.278
694,Mukiele,SUN,DEF,2784,4,4.881,5.75,0.869,0.052,0.085,0.033,0.086,0.112,0.026,0.138,0.198,0.06,0.0,0.0,0.0,Neutral,0.976,4.881,0.097,0.162,0.291,0.052,0.086,0.138,1.445,0.356,15.808,6.595,2.231,8.825,5.75,0.25,0.0,0.25,0.085,0.112,0.198,1.068,0.25,17.75,7.0,1.5,8.5,0.869,0.153,-0.162,-0.041,0.033,0.026,0.06,-0.377,-0.106,1.942,0.405,-0.731,-0.325
706,Justin,LEE,DEF,1893,4,4.469,3.25,-1.219,0.087,0.055,-0.032,0.055,0.025,-0.03,0.142,0.08,-0.062,0.0,0.0,0.0,🧊 Cold,0.894,4.469,0.095,0.048,0.285,0.087,0.055,0.142,1.569,0.428,16.07,6.086,2.615,8.7,3.25,0.0,0.0,0.25,0.055,0.025,0.08,1.878,0.0,14.75,4.25,3.75,8.0,-1.219,-0.095,-0.048,-0.035,-0.032,-0.03,-0.062,0.309,-0.428,-1.32,-1.836,1.135,-0.7
708,M.Fernandes,WHU,MID,3017,4,4.027,4.75,0.723,0.059,0.175,0.116,0.088,0.105,0.017,0.148,0.28,0.132,0.0,0.0,0.0,Neutral,0.805,4.027,0.089,0.119,0.239,0.059,0.088,0.148,1.441,0.209,19.659,2.506,3.073,11.008,4.75,0.0,0.25,0.25,0.175,0.105,0.28,1.692,0.25,20.25,2.75,3.5,11.5,0.723,-0.089,0.131,0.011,0.116,0.017,0.132,0.251,0.041,0.591,0.244,0.427,0.492
714,Woltemade,NEW,FWD,1896,3,5.127,5.118,-0.009,0.313,0.085,-0.228,0.073,0.132,0.059,0.385,0.218,-0.167,0.0,0.0,0.0,Neutral,1.025,5.127,0.38,0.19,0.38,0.313,0.073,0.385,1.219,0.57,18.94,1.329,1.139,4.984,5.118,0.427,0.0,0.427,0.085,0.132,0.218,1.122,0.853,23.886,0.427,0.853,4.692,-0.009,0.047,-0.19,0.047,-0.228,0.059,-0.167,-0.097,0.283,4.946,-0.902,-0.286,-0.292
719,Lindelöf,AVL,DEF,942,4,2.771,1.607,-1.164,0.027,0.0,-0.027,0.01,0.01,0.0,0.036,0.01,-0.026,0.0,0.0,0.0,🧊 Cold,0.554,2.771,0.0,0.096,0.096,0.027,0.01,0.036,1.522,0.0,11.847,4.49,0.669,5.159,1.607,0.0,0.0,0.0,0.0,0.01,0.01,1.295,0.0,8.036,4.5,0.643,5.143,-1.164,0.0,-0.096,-0.096,-0.027,0.0,-0.026,-0.227,0.0,-3.811,0.01,-0.026,-0.016
722,Florentino,BUR,MID,2100,3,3.6,4.209,0.609,0.027,0.019,-0.008,0.022,0.023,0.001,0.05,0.042,-0.008,0.0,0.0,0.0,Neutral,0.72,3.6,0.0,0.086,0.086,0.027,0.022,0.05,1.983,0.0,15.3,4.757,3.814,13.414,4.209,0.0,0.0,0.0,0.019,0.023,0.042,1.641,0.0,17.482,5.504,3.237,14.245,0.609,0.0,-0.086,-0.086,-0.008,0.001,-0.008,-0.342,0.0,2.182,0.747,-0.577,0.831
723,Canvot,CRY,DEF,1331,3,4.869,2.333,-2.536,0.1,0.103,0.003,0.022,0.013,-0.009,0.122,0.117,-0.005,0.0,0.0,0.0,🧊 Cold,0.974,4.869,0.0,0.0,0.338,0.1,0.022,0.122,1.612,0.609,14.606,8.723,2.705,11.427,2.333,0.0,0.0,0.0,0.103,0.013,0.117,1.62,0.0,6.667,8.333,1.333,9.667,-2.536,0.0,0.0,-0.338,0.003,-0.009,-0.005,0.008,-0.609,-7.939,-0.39,-1.372,-1.76
724,Geertruida,SUN,DEF,1681,3,2.945,3.0,0.055,0.042,0.097,0.055,0.046,0.033,-0.013,0.088,0.13,0.042,0.0,0.0,0.0,Neutral,0.589,2.945,0.0,0.0,0.161,0.042,0.046,0.088,1.655,0.0,12.368,4.069,1.981,6.05,3.0,0.0,0.0,0.333,0.097,0.033,0.13,0.85,0.0,13.667,3.0,1.0,4.0,0.055,0.0,0.0,0.172,0.055,-0.013,0.042,-0.805,0.0,1.299,-1.069,-0.981,-2.05
726,Kolo Muani,TOT,FWD,1655,3,2.828,2.241,-0.587,0.113,0.093,-0.02,0.089,0.097,0.008,0.201,0.19,-0.011,0.0,0.0,0.0,🧊 Cold,0.566,2.828,0.054,0.054,0.218,0.113,0.089,0.201,1.373,0.054,8.157,1.196,1.523,6.199,2.241,0.0,0.0,0.373,0.093,0.097,0.19,0.784,0.0,6.349,0.0,1.867,4.855,-0.587,-0.054,-0.054,0.155,-0.02,0.008,-0.011,-0.589,-0.054,-1.808,-1.196,0.344,-1.344
728,Röhl,EVE,MID,675,4,4.8,5.11,0.31,0.089,0.048,-0.041,0.047,0.04,-0.007,0.136,0.088,-0.048,0.0,0.0,0.0,Neutral,0.96,4.8,0.133,0.133,0.267,0.089,0.047,0.136,1.775,0.267,13.067,2.0,3.333,9.067,5.11,0.284,0.284,0.0,0.048,0.04,0.088,1.445,0.568,14.196,1.42,1.987,5.678,0.31,0.151,0.151,-0.267,-0.041,-0.007,-0.048,-0.33,0.301,1.129,-0.58,-1.346,-3.389
730,Brobbey,SUN,FWD,1920,4,4.312,4.545,0.233,0.282,0.448,0.166,0.031,0.061,0.03,0.314,0.509,0.195,0.0,0.0,0.0,Neutral,0.862,4.312,0.328,0.094,0.281,0.282,0.031,0.314,1.472,0.562,14.484,0.984,0.422,3.469,4.545,0.303,0.303,0.303,0.448,0.061,0.509,0.982,0.303,14.848,1.818,0.303,3.333,0.233,-0.025,0.209,0.022,0.166,0.03,0.195,-0.49,-0.259,0.364,0.834,-0.119,-0.136
733,Lammens,MUN,GKP,2880,4,3.406,4.5,1.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.469,2.75,0.281,🔥 Hot,0.681,3.406,0.0,0.0,0.25,0.0,0.0,0.0,1.227,0.344,12.906,0.812,0.031,0.0,4.5,0.0,0.0,0.5,0.0,0.0,0.0,1.202,0.5,17.25,0.5,0.0,0.0,1.094,0.0,0.0,0.25,0.0,0.0,0.0,-0.025,0.156,4.344,-0.312,-0.031,0.0
736,Donnarumma,MCI,GKP,3060,3,3.971,5.0,1.029,0.0,0.0,0.0,0.004,0.0,-0.004,0.004,0.0,-0.004,2.294,2.0,-0.294,🔥 Hot,0.794,3.971,0.0,0.0,0.441,0.0,0.004,0.004,1.132,0.147,16.676,1.235,0.0,0.0,5.0,0.0,0.0,0.667,0.0,0.0,0.0,0.97,0.667,19.333,1.0,0.0,0.0,1.029,0.0,0.0,0.226,0.0,-0.004,-0.004,-0.162,0.52,2.657,-0.235,0.0,0.0
749,Mané,WOL,FWD,1787,4,3.727,4.554,0.827,0.101,0.118,0.017,0.186,0.442,0.256,0.287,0.56,0.273,0.0,0.0,0.0,🔥 Hot,0.745,3.727,0.151,0.101,0.252,0.101,0.186,0.287,1.599,0.453,15.814,1.662,1.36,6.9,4.554,0.268,0.0,0.0,0.118,0.442,0.56,1.173,0.804,23.036,1.071,1.339,8.036,0.827,0.117,-0.101,-0.252,0.017,0.256,0.273,-0.426,0.351,7.222,-0.591,-0.021,1.136
783,Groß,BHA,MID,1636,4,4.291,3.25,-1.041,0.076,0.138,0.062,0.217,0.212,-0.005,0.294,0.35,0.056,0.0,0.0,0.0,🧊 Cold,0.858,4.291,0.055,0.33,0.33,0.076,0.217,0.294,1.12,0.55,21.4,2.2,1.595,7.977,3.25,0.0,0.25,0.25,0.138,0.212,0.35,1.425,0.25,18.0,1.0,1.25,6.25,-1.041,-0.055,-0.08,-0.08,0.062,-0.005,0.056,0.305,-0.3,-3.4,-1.2,-0.345,-1.727
791,Taty,WHU,FWD,1384,3,3.967,5.125,1.158,0.374,0.596,0.222,0.053,0.054,0.001,0.427,0.65,0.223,0.0,0.0,0.0,🔥 Hot,0.793,3.967,0.39,0.065,0.585,0.374,0.053,0.427,1.284,0.325,15.802,1.886,0.715,4.617,5.125,0.641,0.0,0.641,0.596,0.054,0.65,1.672,0.641,21.459,2.562,0.961,5.765,1.158,0.251,-0.065,0.056,0.222,0.001,0.223,0.388,0.316,5.657,0.676,0.246,1.148
796,Gallagher,TOT,MID,1183,4,3.347,4.103,0.756,0.094,0.162,0.068,0.053,0.033,-0.02,0.147,0.195,0.048,0.0,0.0,0.0,🔥 Hot,0.669,3.347,0.076,0.076,0.152,0.094,0.053,0.147,1.448,0.228,16.052,2.206,1.674,9.434,4.103,0.256,0.0,0.256,0.162,0.033,0.195,0.628,0.769,17.179,1.538,2.308,9.744,0.756,0.18,-0.076,0.104,0.068,-0.02,0.048,-0.82,0.541,1.127,-0.668,0.634,0.31
807,Rayan,BOU,MID,1110,4,5.432,6.226,0.794,0.216,0.294,0.078,0.149,0.082,-0.067,0.366,0.376,0.01,0.0,0.0,0.0,Neutral,1.086,5.432,0.405,0.162,0.486,0.216,0.149,0.366,1.552,0.243,19.297,2.27,0.892,6.649,6.226,0.566,0.0,0.849,0.294,0.082,0.376,1.053,0.283,19.528,3.962,0.849,8.774,0.794,0.161,-0.162,0.363,0.078,-0.067,0.01,-0.499,0.04,0.231,1.692,-0.043,2.125
815,Disasi,WHU,DEF,1254,4,3.517,2.542,-0.975,0.079,0.0,-0.079,0.002,0.005,0.003,0.081,0.005,-0.076,0.0,0.0,0.0,🧊 Cold,0.703,3.517,0.0,0.0,0.431,0.079,0.002,0.081,1.331,0.072,13.349,5.311,1.005,6.316,2.542,0.0,0.0,0.254,0.0,0.005,0.005,1.721,0.0,7.627,3.814,0.763,4.576,-0.975,0.0,0.0,-0.177,-0.079,0.003,-0.076,0.39,-0.072,-5.722,-1.497,-0.242,-1.74
817,Armstrong,WOL,FWD,1141,4,3.076,3.611,0.535,0.218,0.425,0.207,0.067,0.047,-0.02,0.286,0.472,0.186,0.0,0.0,0.0,Neutral,0.615,3.076,0.158,0.158,0.237,0.218,0.067,0.286,1.809,0.079,10.175,1.104,0.631,2.918,3.611,0.278,0.0,0.0,0.425,0.047,0.472,1.197,0.278,9.444,0.833,0.833,2.778,0.535,0.12,-0.158,-0.237,0.207,-0.02,0.186,-0.612,0.199,-0.731,-0.271,0.202,-0.14
